// <0000> 吉野＿体験版
<0000> 吉野＿体験版

// <0001> 「もういい加減、我慢ならねぇ…」
<0001> 「もういい加減、我慢ならねぇ…」

// <0002> うちのクラス唯一の不良とも言える男、吉野晴彦が言った。
<0002> うちのクラス唯一の不良とも言える男、吉野晴彦が言った。

// <0003> 吉野＿体験版
<0003> 吉野＿体験版

// <0004> 「天王寺、オレとデュエルしろ」
<0004> 「天王寺、オレとデュエルしろ」

// <0005> 瑚太朗＿体験版
<0005> 瑚太朗＿体験版

// <0006> 「悪い吉野、俺カードゲームとかさっぱりで…」
<0006> 「悪い吉野、俺カードゲームとかさっぱりで…」

// <0007> 吉野＿体験版
<0007> 吉野＿体験版

// <0008> 「決闘って意味で使った！」
<0008> 「決闘って意味で使った！」

// <0009> 本気の眼だった。
<0009> 本気の眼だった。

// <0010> 見た目通りの一匹狼だが、普段はクールだ。
<0010> 見た目通りの一匹狼だが、普段はクールだ。

// <0011> だから吉野が、漫画やゲームに出てくるようなキザな口調で話すことを知っている者は、意外に少ない。
<0011> だから吉野が、漫画やゲームに出てくるようなキザな口調で話すことを知っている者は、意外に少ない。

// <0012> こいつは、なぜだか俺を目の敵にしている。
<0012> こいつは、なぜだか俺を目の敵にしている。

// <0013> 今まで対決は避けてきたが、とうとうこういうことになってしまった。
<0013> 今まで対決は避けてきたが、とうとうこういうことになってしまった。

// <0014> 俺は休み時間ごとにヤツに気さくに話しかけ、
<0014> 俺は休み時間ごとにヤツに気さくに話しかけ、

// <0015> 便所に行けばついていって後ろからのぞき込み、
<0015> 便所に行けばついていって後ろからのぞき込み、

// <0016> いちいち格好良すぎる言葉づかいに爆笑することで親しみを示し、
<0016> いちいち格好良すぎる言葉づかいに爆笑することで親しみを示し、

// <0017> ひざかっくんなどの友情表現を絶やすことはなかったのに。
<0017> ひざかっくんなどの友情表現を絶やすことはなかったのに。

// <0018> なぜ吉野が俺を鬱陶しがるか、想像もつかないのが正直なところだ。
<0018> なぜ吉野が俺を鬱陶しがるか、想像もつかないのが正直なところだ。

// <0019> 瑚太朗＿体験版
<0019> 瑚太朗＿体験版

// <0020> 「残念だよ吉野…親友同士で争うことになるなんてな」
<0020> 「残念だよ吉野…親友同士で争うことになるなんてな」

// <0021> 吉野＿体験版
<0021> 吉野＿体験版

// <0022> 「テメェと親友になったつもりはねぇっ！　そいつを今日、体に理解させてやる」
<0022> 「テメェと親友になったつもりはねぇっ！　そいつを今日、体に理解させてやる」

// <0023> 瑚太朗＿体験版
<0023> 瑚太朗＿体験版

// <0024> 「どうやら本気みたいだな」
<0024> 「どうやら本気みたいだな」

// <0025> 瑚太朗＿体験版
<0025> 瑚太朗＿体験版

// <0026> 「…わかった。受けて立つ」
<0026> 「…わかった。受けて立つ」

// <0027> 吉野＿体験版
<0027> 吉野＿体験版

// <0028> 「放課後、校舎裏に来い。そこでジ・エンド、くれてやる」
<0028> 「放課後、校舎裏に来い。そこでジ・エンド、くれてやる」

// <0029> 瑚太朗＿体験版
<0029> 瑚太朗＿体験版

// <0030> 「ああ…だがひとつだけ言っておく」
<0030> 「ああ…だがひとつだけ言っておく」

// <0031> 吉野の波動にあてられた俺は、ニヒルな気分になって言う。
<0031> 吉野の波動にあてられた俺は、ニヒルな気分になって言う。

// <0032> 吉野＿体験版
<0032> 吉野＿体験版

// <0033> 「なんだ？」
<0033> 「なんだ？」

// <0034> 瑚太朗＿体験版
<0034> 瑚太朗＿体験版

// <0035> 「俺はそう簡単に終わる男じゃない」
<0035> 「俺はそう簡単に終わる男じゃない」

// <0036> 吉野＿体験版
