// <0000> 携帯画面に表示されているこのマップ。
<0000> 携帯画面に表示されているこのマップ。

// <0001> マッピーというアプリケーションソフトだ。
<0001> マッピーというアプリケーションソフトだ。

// <0002> 人間版カーナビみたいなものだ。
<0002> 人間版カーナビみたいなものだ。

// <0003> 携帯にバンドルされていた。
<0003> 携帯にバンドルされていた。

// <0004> 歩き回った地形を記録してくれる。
<0004> 歩き回った地形を記録してくれる。

// <0005> 歩数を記録してくれたり、簡単なナビをしてくれたりする。
<0005> 歩数を記録してくれたり、簡単なナビをしてくれたりする。

// <0006> まあウォーキング支援ソフトだな。
<0006> まあウォーキング支援ソフトだな。

// <0007> 地図データが取得できない建物内などをうろついて、オートマッピングで開拓していくのが楽しい。
<0007> 地図データが取得できない建物内などをうろついて、オートマッピングで開拓していくのが楽しい。

// <0008> 森の中で迷っても、帰り道がわからなくなるということがない。
<0008> 森の中で迷っても、帰り道がわからなくなるということがない。

// <0009> なかなかいい。
<0009> なかなかいい。

// <0010> さて…
<0010> さて…

// <0011> ■マッピー／既読■　ID:
<0011> ■マッピー／既読■　ID:

// <0012>  (Z
<0012>  (Z

// <0013> -
<0013> -

// <0014> ■マッピー／コンプリート■
<0014> ■マッピー／コンプリート■

// <0015> 広い森…
<0015> 広い森…

// <0016> 住宅街に近いためか、動物や虫をほとんど見ない。
<0016> 住宅街に近いためか、動物や虫をほとんど見ない。

// <0017> 人間を警戒して、奥に逃げてしまっているのか。
<0017> 人間を警戒して、奥に逃げてしまっているのか。

// <0018> 土地の子供にとっても森は良い遊び場だ。
<0018> 土地の子供にとっても森は良い遊び場だ。

// <0019> そういえば…子供の頃、カブトムシを捕ろうと森に入ったことがある。
<0019> そういえば…子供の頃、カブトムシを捕ろうと森に入ったことがある。

// <0020> 一匹も見つけることはできなかった。
<0020> 一匹も見つけることはできなかった。

// <0021> だから俺は、本物のカブトムシというものを知らない。
<0021> だから俺は、本物のカブトムシというものを知らない。

