// <0000> 瑚太朗＿体験版
<0000> 瑚太朗＿体験版

// <0001> （ここから侵入しろってことだけど…）
<0001> （ここから侵入しろってことだけど…）

// <0002> 夜の学校は戸締まりも厳重そうなんだが、そのあたり平気なんだろうか？
<0002> 夜の学校は戸締まりも厳重そうなんだが、そのあたり平気なんだろうか？

// <0003> わざわざ指定してきたんだ。
<0003> わざわざ指定してきたんだ。

// <0004> 平気なんだろうと考えるしかない。
<0004> 平気なんだろうと考えるしかない。

// <0005> 下見をしてみると、入り口として指定された箇所の窓には、鍵がかかっていなかった。
<0005> 下見をしてみると、入り口として指定された箇所の窓には、鍵がかかっていなかった。

// <0006> 魔女の手配だろうか？
<0006> 魔女の手配だろうか？

// <0007> 瑚太朗＿体験版
<0007> 瑚太朗＿体験版

// <0008> 「こういうのけっこう好き」
<0008> 「こういうのけっこう好き」

// <0009> 瑚太朗＿体験版
<0009> 瑚太朗＿体験版

// <0010> （夜の学校か…）
<0010> （夜の学校か…）

// <0011> 瑚太朗＿体験版
<0011> 瑚太朗＿体験版

// <0012> （変な感じだな）
<0012> （変な感じだな）

// <0013> 瑚太朗＿体験版
<0013> 瑚太朗＿体験版

// <0014> （不思議な印象だ）
<0014> （不思議な印象だ）

// <0015> 人によっては恐いと思うかもしれない。
<0015> 人によっては恐いと思うかもしれない。

// <0016> けれど俺は、妙に楽しく感じた。
<0016> けれど俺は、妙に楽しく感じた。

// <0017> 瑚太朗＿体験版
<0017> 瑚太朗＿体験版

// <0018> （やっぱ俺って、こういうの好きなんだな）
<0018> （やっぱ俺って、こういうの好きなんだな）

// <0019> やわらかな月光の差し込む夜の校舎で、見る者のない自嘲を浮かべた。
<0019> やわらかな月光の差し込む夜の校舎で、見る者のない自嘲を浮かべた。

// <0020> 三階まで上がり、無事、指定された教室に到着した。
<0020> 三階まで上がり、無事、指定された教室に到着した。

// <0021> ドアをそっと開く。
<0021> ドアをそっと開く。

// <0022> 向こうに魔女様がいるかもしれないのだ。
<0022> 向こうに魔女様がいるかもしれないのだ。

// <0023> さすがに緊張は隠せない。
<0023> さすがに緊張は隠せない。

// <0024> 瑚太朗＿体験版
<0024> 瑚太朗＿体験版

// <0025> 「…もしもーし」
<0025> 「…もしもーし」

// <0026> 小声で暗闇に呼びかける。
<0026> 小声で暗闇に呼びかける。

// <0027> 電気もついていないので、教室内はほとんど見通せない。
<0027> 電気もついていないので、教室内はほとんど見通せない。

// <0028> 人の気配はない。
<0028> 人の気配はない。

// <0029> 困った。
<0029> 困った。

// <0030> 担がれた、ということなのだろうか。
<0030> 担がれた、ということなのだろうか。

// <0031> 黒板にチョークで文字が書かれていることに気付く。
<0031> 黒板にチョークで文字が書かれていることに気付く。

// <0032> 『Ｋ・Ｔに告ぐ』
<0032> 『Ｋ・Ｔに告ぐ』

// <0033> 『１－Ｃ教室に』
<0033> 『１－Ｃ教室に』

// <0034> それだけ。
<0034> それだけ。

// <0035> 瑚太朗＿体験版
<0035> 瑚太朗＿体験版

// <0036> 「そういう趣向か」
<0036> 「そういう趣向か」

// <0037> よくあるパターンだな。
<0037> よくあるパターンだな。
