// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月１０日(日)
<0003> １０月１０日(日)

// <0004> 今日は日曜日だ。
<0004> 今日は日曜日だ。

// <0005> テスト前の貴重な休みだが、小鳥がうちに来てくれることになっていた。
<0005> テスト前の貴重な休みだが、小鳥がうちに来てくれることになっていた。

// <0006> 
<0006> 

// <0007> 小鳥
<0007> 小鳥

// <0008> 「おじゃまします」
<0008> 「おじゃまします」

// <0009> 瑚太朗
<0009> 瑚太朗

// <0010> 「うん、あがって」
<0010> 「うん、あがって」

// <0011> 小鳥
<0011> 小鳥

// <0012> 「ご両親はいないんだっけか」
<0012> 「ご両親はいないんだっけか」

// <0013> 瑚太朗
<0013> 瑚太朗

// <0014> 「そう、擬似一人暮らし状態」
<0014> 「そう、擬似一人暮らし状態」

// <0015> 小鳥
<0015> 小鳥

// <0016> 「のびのび」
<0016> 「のびのび」

// <0017> 瑚太朗
<0017> 瑚太朗

// <0018> 「今日まではな…」
<0018> 「今日まではな…」

// <0019> 暗い気分が俺を襲った。
<0019> 暗い気分が俺を襲った。

// <0020> 小鳥
<0020> 小鳥

// <0021> 「どうしたの、暗い顔して」
<0021> 「どうしたの、暗い顔して」

// <0022> 瑚太朗
<0022> 瑚太朗

// <0023> 「…今朝方、けいたろうが逝去した」
<0023> 「…今朝方、けいたろうが逝去した」

// <0024> 小鳥
<0024> 小鳥

// <0025> 「誰？」
<0025> 「誰？」

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「気の良い式神さ…」
<0027> 「気の良い式神さ…」

// <0028> 小鳥
<0028> 小鳥

// <0029> 「？」
<0029> 「？」

// <0030> ■友達■　ID:
<0030> ■友達■　ID:

// <0031> 　NO:
<0031> 　NO:

// <0032> 小鳥
<0032> 小鳥

// <0033> 「もしかして、疲れてる？」
<0033> 「もしかして、疲れてる？」

// <0034> 瑚太朗
<0034> 瑚太朗

// <0035> 「夜が恐い…」
<0035> 「夜が恐い…」

// <0036> 小鳥
<0036> 小鳥

// <0037> 「どうしたもんやら」
<0037> 「どうしたもんやら」

// <0038> 瑚太朗
<0038> 瑚太朗

// <0039> 「まあ昼間はいいんだ。おてんと様は素晴らしい」
<0039> 「まあ昼間はいいんだ。おてんと様は素晴らしい」

// <0040> 瑚太朗
<0040> 瑚太朗

// <0041> 「昼間にはなんかこう、闇を退ける良き力があるように思えるよ」
<0041> 「昼間にはなんかこう、闇を退ける良き力があるように思えるよ」

// <0042> 小鳥
<0042> 小鳥

// <0043> 「だから昼なんだよ」
<0043> 「だから昼なんだよ」

// <0044> 瑚太朗
<0044> 瑚太朗

// <0045> 「まあ小鳥は気にしないでいい。ひとまずコーヒーでもしばこうぜ」
<0045> 「まあ小鳥は気にしないでいい。ひとまずコーヒーでもしばこうぜ」

// <0046> 小鳥
<0046> 小鳥

// <0047> 「あ、先にこっち、やっちゃいたい」
<0047> 「あ、先にこっち、やっちゃいたい」

// <0048> 玄関に置いたままになってる大量の荷物を指さす。
<0048> 玄関に置いたままになってる大量の荷物を指さす。

// <0049> 瑚太朗
<0049> 瑚太朗

// <0050> 「今週の緑化グッズだな」
<0050> 「今週の緑化グッズだな」

// <0051> 今朝、宅配業者が置いていったものだ。
<0051> 今朝、宅配業者が置いていったものだ。

// <0052> 小鳥が注文し、うちの親が金を出し、俺のベランダに息づくものだ。
<0052> 小鳥が注文し、うちの親が金を出し、俺のベランダに息づくものだ。

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「じゃ二階に運ぶわ」
<0054> 「じゃ二階に運ぶわ」

// <0055> 小鳥
<0055> 小鳥

// <0056> 「お願いする」
<0056> 「お願いする」

// <0057> 力仕事ならお任せだ。
<0057> 力仕事ならお任せだ。

// <0058> 荷物の一部を部屋まで運んだ。
<0058> 荷物の一部を部屋まで運んだ。

// <0059> 瑚太朗
<0059> 瑚太朗

// <0060> 「また今日もどっさりだな」
<0060> 「また今日もどっさりだな」

// <0061> 合計５０キロくらいはありそうだ。
<0061> 合計５０キロくらいはありそうだ。

// <0062> 小鳥
<0062> 小鳥

// <0063> 「またたくさん買っちまったよ」
<0063> 「またたくさん買っちまったよ」

// <0064> 瑚太朗
<0064> 瑚太朗

// <0065> 「いいって。どうせ俺の元には落ちてこない金なんだし」
<0065> 「いいって。どうせ俺の元には落ちてこない金なんだし」

// <0066> 以前、見てしまった。
<0066> 以前、見てしまった。

// <0067> 俺の小遣い封筒より、小鳥に渡される封筒の方が分厚く、重いことを。
<0067> 俺の小遣い封筒より、小鳥に渡される封筒の方が分厚く、重いことを。

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> （ああ…金が欲しい…）
<0069> （ああ…金が欲しい…）

// <0070> バイト、とっとと動かないとな。
<0070> バイト、とっとと動かないとな。

// <0071> 軍資金がなければ、いざって時に身動きも取れない。
<0071> 軍資金がなければ、いざって時に身動きも取れない。

// <0072> 瑚太朗
<0072> 瑚太朗

// <0073> 「残りも持ってくる。二階で待っててくれ」
<0073> 「残りも持ってくる。二階で待っててくれ」

// <0074> 小鳥
<0074> 小鳥

// <0075> 「体育座りで待ってる」
<0075> 「体育座りで待ってる」

// <0076> キリキリ運んだ。
<0076> キリキリ運んだ。

// <0077> 
<0077> 

// <0078> 小鳥
<0078> 小鳥

// <0079> 「………………」
<0079> 「………………」

// <0080> 体育座りはしていなかった。
<0080> 体育座りはしていなかった。

// <0081> 廊下から室内を覗き込んでいた。
<0081> 廊下から室内を覗き込んでいた。

// <0082> 瑚太朗
<0082> 瑚太朗

// <0083> 「…そこのぽっちゃり系の人？」
<0083> 「…そこのぽっちゃり系の人？」

// <0084> 小鳥
<0084> 小鳥

// <0085> 「ぽぽぽぽっちゃり系ちゃうわっ」
<0085> 「ぽぽぽぽっちゃり系ちゃうわっ」

// <0086> 小鳥
<0086> 小鳥

// <0087> 「あと三年くらいかけてスーパーモデル並にスリムになるし」
<0087> 「あと三年くらいかけてスーパーモデル並にスリムになるし」

// <0088> 瑚太朗
<0088> 瑚太朗

// <0089> 「有酸素運動３０００時間くらいしないとな」
<0089> 「有酸素運動３０００時間くらいしないとな」

// <0090> 小鳥
<0090> 小鳥

// <0091> 「芸能界デビューするよ」
<0091> 「芸能界デビューするよ」

// <0092> 瑚太朗
<0092> 瑚太朗

// <0093> 「芸名は」
<0093> 「芸名は」

// <0094> 小鳥
<0094> 小鳥

// <0095> 「骨川スリム」
<0095> 「骨川スリム」

// <0096> 瑚太朗
<0096> 瑚太朗

// <0097> 「…色モノアイドルみたいだ」
<0097> 「…色モノアイドルみたいだ」

// <0098> 瑚太朗
<0098> 瑚太朗

// <0099> 「で、俺の部屋がどうしたって？」
<0099> 「で、俺の部屋がどうしたって？」

// <0100> 瑚太朗
<0100> 瑚太朗

// <0101> 「また男臭いとか騒ぎながら窓全開で換気しようってつもりなら、俺はいつでも傷つく準備はできてるからな」
<0101> 「また男臭いとか騒ぎながら窓全開で換気しようってつもりなら、俺はいつでも傷つく準備はできてるからな」

// <0102> 小鳥
<0102> 小鳥

// <0103> 「ちがう。なんかね…」
<0103> 「ちがう。なんかね…」

// <0104> 言うべきか否か、ためらいがちに悩む。
<0104> 言うべきか否か、ためらいがちに悩む。

// <0105> 小鳥
<0105> 小鳥

// <0106> 「…波動を、感じた」
<0106> 「…波動を、感じた」

// <0107> 奇妙な手振りとともにそう言う。
<0107> 奇妙な手振りとともにそう言う。

// <0108> 瑚太朗
<0108> 瑚太朗

// <0109> 「波動というとアレか。ウエーブ的な何かか」
<0109> 「波動というとアレか。ウエーブ的な何かか」

// <0110> 小鳥
<0110> 小鳥

// <0111> 「そうだ」
<0111> 「そうだ」

// <0112> 小鳥
<0112> 小鳥

// <0113> 「それはまたバイブレーション的な何かでもある」
<0113> 「それはまたバイブレーション的な何かでもある」

// <0114> 瑚太朗
<0114> 瑚太朗

// <0115> 「波であり、振動でもあるのか」
<0115> 「波であり、振動でもあるのか」

// <0116> 小鳥
<0116> 小鳥

// <0117> 「両方の性質を持っているかもだ」
<0117> 「両方の性質を持っているかもだ」

// <0118> 瑚太朗
<0118> 瑚太朗

// <0119> 「自分で乗っておいて何だが、どういう会話だこれ」
<0119> 「自分で乗っておいて何だが、どういう会話だこれ」

// <0120> 小鳥
<0120> 小鳥

// <0121> 「ひとことで言うと、変な気配がしたなーってことだ」
<0121> 「ひとことで言うと、変な気配がしたなーってことだ」

// <0122> 瑚太朗
<0122> 瑚太朗

// <0123> 「なんだ、ついに感じてくれたか。そいつが霊の波動だ」
<0123> 「なんだ、ついに感じてくれたか。そいつが霊の波動だ」

// <0124> 小鳥
<0124> 小鳥

// <0125> 「これがそうだと申すか…」
<0125> 「これがそうだと申すか…」

// <0126> 瑚太朗
<0126> 瑚太朗

// <0127> 「俺の部屋は今最高にヤバいんだ」
<0127> 「俺の部屋は今最高にヤバいんだ」

// <0128> 瑚太朗
<0128> 瑚太朗

// <0129> 「式神の加護もないし」
<0129> 「式神の加護もないし」

// <0130> 小鳥
<0130> 小鳥

// <0131> 「部屋入ろうとして、びくってしてしまったよ」
<0131> 「部屋入ろうとして、びくってしてしまったよ」

// <0132> 小鳥
<0132> 小鳥

// <0133> 「これ、なんとかなるの？」
<0133> 「これ、なんとかなるの？」

// <0134> 瑚太朗
<0134> 瑚太朗

// <0135> 「会長がなんとかしてくれるって話なんだよ」
<0135> 「会長がなんとかしてくれるって話なんだよ」

// <0136> 瑚太朗
<0136> 瑚太朗

// <0137> 「朝からメールしてんだけどレス来ないんだよな」
<0137> 「朝からメールしてんだけどレス来ないんだよな」

// <0138> 瑚太朗
<0138> 瑚太朗

// <0139> 「昨夜で体験版終了のお知らせ状態でさ…」
<0139> 「昨夜で体験版終了のお知らせ状態でさ…」

// <0140> 小鳥
<0140> 小鳥

// <0141> 「効果あったんだ、会長のマジカル」
<0141> 「効果あったんだ、会長のマジカル」

// <0142> 瑚太朗
<0142> 瑚太朗

// <0143> 「あったあった、すげーと思いました」
<0143> 「あったあった、すげーと思いました」

// <0144> 瑚太朗
<0144> 瑚太朗

// <0145> 「でも、いろんな偶然の結果に過ぎなかったんだ、それ」
<0145> 「でも、いろんな偶然の結果に過ぎなかったんだ、それ」

// <0146> 小鳥
<0146> 小鳥

// <0147> 「うーむ」
<0147> 「うーむ」

// <0148> 瑚太朗
<0148> 瑚太朗

// <0149> 「次の対策をおねだりしなきゃ…今日中に」
<0149> 「次の対策をおねだりしなきゃ…今日中に」

// <0150> どんよりしてしまう。
<0150> どんよりしてしまう。

// <0151> せめて今くらいは楽しみたい。
<0151> せめて今くらいは楽しみたい。

// <0152> 瑚太朗
<0152> 瑚太朗

// <0153> 「…さ、ガーデニングやろうぜ」
<0153> 「…さ、ガーデニングやろうぜ」

// <0154> 瑚太朗
<0154> 瑚太朗

// <0155> 「楽しい気分で満ち満ちていれば、霊も逃げるかもしれんし」
<0155> 「楽しい気分で満ち満ちていれば、霊も逃げるかもしれんし」

// <0156> 小鳥
<0156> 小鳥

// <0157> 「うん、おっけー」
<0157> 「うん、おっけー」

// <0158> 小鳥
<0158> 小鳥

// <0159> 「瑚太朗君ちのベランダ久しぶり」
<0159> 「瑚太朗君ちのベランダ久しぶり」

// <0160> 瑚太朗
<0160> 瑚太朗

// <0161> 「三週間ぶりくらいだな」
<0161> 「三週間ぶりくらいだな」

// <0162> 小鳥
<0162> 小鳥

// <0163> 「お代金もらってるから頑張らないと」
<0163> 「お代金もらってるから頑張らないと」

// <0164> 小鳥
<0164> 小鳥

// <0165> 「この三週間、あたしが言った通りに世話しといてくれた？」
<0165> 「この三週間、あたしが言った通りに世話しといてくれた？」

// <0166> 瑚太朗
<0166> 瑚太朗

// <0167> 「ああ、もちろんだ」
<0167> 「ああ、もちろんだ」

// <0168> 瑚太朗
<0168> 瑚太朗

// <0169> 「たっぷり世話しといたぜ」
<0169> 「たっぷり世話しといたぜ」

// <0170> 小鳥
<0170> 小鳥

// <0171> 「そ、よかった」
<0171> 「そ、よかった」

// <0172> 小鳥
<0172> 小鳥

// <0173> 「じゃ今日は楽そうだね」
<0173> 「じゃ今日は楽そうだね」

// <0174> 俺たちはベランダに躍り出た。
<0174> 俺たちはベランダに躍り出た。

// <0175> 小鳥
<0175> 小鳥

// <0176> 「枯れてるーーーっ！？」
<0176> 「枯れてるーーーっ！？」

// <0177> 小鳥
<0177> 小鳥

// <0178> 「あたくし様のささやかな緑化運動が！」
<0178> 「あたくし様のささやかな緑化運動が！」

// <0179> 小鳥
<0179> 小鳥

// <0180> 「茶っこい！」
<0180> 「茶っこい！」

// <0181> 瑚太朗
<0181> 瑚太朗

// <0182> 「小鳥さんをこんなに動揺させるだなんて許せねぇな…」
<0182> 「小鳥さんをこんなに動揺させるだなんて許せねぇな…」

// <0183> 瑚太朗
<0183> 瑚太朗

// <0184> 「相手すんぞコラァ！　出てこいやぁ！」
<0184> 「相手すんぞコラァ！　出てこいやぁ！」

// <0185> 小鳥
<0185> 小鳥

// <0186> 「あんたです」
<0186> 「あんたです」

// <0187> ソフトに殴打された。
<0187> ソフトに殴打された。

// <0188> 瑚太朗
<0188> 瑚太朗

// <0189> 「…ごめんなさい」
<0189> 「…ごめんなさい」

// <0190> 小鳥
<0190> 小鳥

// <0191> 「全滅やんけ」
<0191> 「全滅やんけ」

// <0192> 瑚太朗
<0192> 瑚太朗

// <0193> 「申し訳ございません」
<0193> 「申し訳ございません」

// <0194> 瑚太朗
<0194> 瑚太朗

// <0195> 「聞いてくれ」
<0195> 「聞いてくれ」

// <0196> 瑚太朗
<0196> 瑚太朗

// <0197> 「たっぷりたっぷり世話したんだ…」
<0197> 「たっぷりたっぷり世話したんだ…」

// <0198> 瑚太朗
<0198> 瑚太朗

// <0199> 「せっかくおまえがクリエイトしてくれたガーデンだ…絶やしちゃまずいと思って」
<0199> 「せっかくおまえがクリエイトしてくれたガーデンだ…絶やしちゃまずいと思って」

// <0200> 小鳥
<0200> 小鳥

// <0201> 「根絶やしになってる」
<0201> 「根絶やしになってる」

// <0202> 小鳥
<0202> 小鳥

// <0203> 「暴君か独裁者ばりの手際で、完璧に」
<0203> 「暴君か独裁者ばりの手際で、完璧に」

// <0204> 瑚太朗
<0204> 瑚太朗

// <0205> 「愛情たっぷり水たっぷり栄養剤たっぷり…」
<0205> 「愛情たっぷり水たっぷり栄養剤たっぷり…」

// <0206> 小鳥
<0206> 小鳥

// <0207> 「…そちは今、栄養剤と申したか？」
<0207> 「…そちは今、栄養剤と申したか？」

// <0208> 小鳥
<0208> 小鳥

// <0209> 「そういうのは難しいから、置いていかなかったんだけど？」
<0209> 「そういうのは難しいから、置いていかなかったんだけど？」

// <0210> 瑚太朗
<0210> 瑚太朗

// <0211> 「歩いていたら園芸の店があったので」
<0211> 「歩いていたら園芸の店があったので」

// <0212> 瑚太朗
<0212> 瑚太朗

// <0213> 「栄養剤が特売されていたから」
<0213> 「栄養剤が特売されていたから」

// <0214> 瑚太朗
<0214> 瑚太朗

// <0215> 「大量購入して」
<0215> 「大量購入して」

// <0216> 瑚太朗
<0216> 瑚太朗

// <0217> 「栄養祭り」
<0217> 「栄養祭り」

// <0218> 小鳥
<0218> 小鳥

// <0219> 「こらーーーっ！」
<0219> 「こらーーーっ！」

// <0220> 怒られた。
<0220> 怒られた。

// <0221> 小鳥
<0221> 小鳥

// <0222> 「栄養の与えすぎが原因です」
<0222> 「栄養の与えすぎが原因です」

// <0223> 瑚太朗
<0223> 瑚太朗

// <0224> 「お、思いもよらなかった…」
<0224> 「お、思いもよらなかった…」

// <0225> 小鳥
<0225> 小鳥

// <0226> 「栄養も愛情も、与えすぎはだめ」
<0226> 「栄養も愛情も、与えすぎはだめ」

// <0227> 瑚太朗
<0227> 瑚太朗

// <0228> 「愛情も？」
<0228> 「愛情も？」

// <0229> 小鳥
<0229> 小鳥

// <0230> 「そ」
<0230> 「そ」

// <0231> 瑚太朗
<0231> 瑚太朗

// <0232> 「愛情はいいと思うんだけどな」
<0232> 「愛情はいいと思うんだけどな」

// <0233> 小鳥
<0233> 小鳥

// <0234> 「今はドライでクールなのが流行りなの」
<0234> 「今はドライでクールなのが流行りなの」

// <0235> 瑚太朗
<0235> 瑚太朗

// <0236> 「…そんなもんかねぇ」
<0236> 「…そんなもんかねぇ」

// <0237> ガーデンは総入れ替えとなった。
<0237> ガーデンは総入れ替えとなった。

// <0238> 瑚太朗
<0238> 瑚太朗

// <0239> 「悪い、すごい手間かけちゃって」
<0239> 「悪い、すごい手間かけちゃって」

// <0240> 小鳥
<0240> 小鳥

// <0241> 「仕方ないよ」
<0241> 「仕方ないよ」

// <0242> 小鳥
<0242> 小鳥

// <0243> 「大量に買い込んで正解だった」
<0243> 「大量に買い込んで正解だった」

// <0244> 小鳥
<0244> 小鳥

// <0245> 「瑚太朗君は手伝わないでいいから、下行ってコーヒー淹れといて」
<0245> 「瑚太朗君は手伝わないでいいから、下行ってコーヒー淹れといて」

// <0246> 瑚太朗
<0246> 瑚太朗

// <0247> 「うん。じゃ、めちゃ美味いの淹れるわ」
<0247> 「うん。じゃ、めちゃ美味いの淹れるわ」

// <0248> 小鳥
<0248> 小鳥

// <0249> 「さて、大仕事だねこりゃ」
<0249> 「さて、大仕事だねこりゃ」

// <0250> 腕まくりする小鳥は、妙に楽しそうで。
<0250> 腕まくりする小鳥は、妙に楽しそうで。

// <0251> ペーパードリップで、時間をかけて淹れた。
<0251> ペーパードリップで、時間をかけて淹れた。

// <0252> おいしいお菓子もあるよ。
<0252> おいしいお菓子もあるよ。

// <0253> 瑚太朗
<0253> 瑚太朗

// <0254> 「おーい、コーヒー入ったけど？」
<0254> 「おーい、コーヒー入ったけど？」

// <0255> 小鳥
<0255> 小鳥

// <0256> 「もらうー」
<0256> 「もらうー」

// <0257> しかし降りては来ない。
<0257> しかし降りては来ない。

// <0258> 盆にコーヒーをのせて、二階に運んだ。
<0258> 盆にコーヒーをのせて、二階に運んだ。

// <0259> 瑚太朗
<0259> 瑚太朗

// <0260> 「どんなもん？」
<0260> 「どんなもん？」

// <0261> 小鳥
<0261> 小鳥

// <0262> 「まだ序の口」
<0262> 「まだ序の口」

// <0263> 胸元に抱えた枯れた植物を、ゴミ袋に詰めているところだった。
<0263> 胸元に抱えた枯れた植物を、ゴミ袋に詰めているところだった。

// <0264> 小鳥
<0264> 小鳥

// <0265> 「土も取っ替えないとアカンの」
<0265> 「土も取っ替えないとアカンの」

// <0266> 小鳥
<0266> 小鳥

// <0267> 「土は自分でブレンドしなきゃ」
<0267> 「土は自分でブレンドしなきゃ」

// <0268> 瑚太朗
<0268> 瑚太朗

// <0269> 「本格的だな…」
<0269> 「本格的だな…」

// <0270> 瑚太朗
<0270> 瑚太朗

// <0271> 「さすが天王寺家のガーデナーであらせられる神戸さんや」
<0271> 「さすが天王寺家のガーデナーであらせられる神戸さんや」

// <0272> 小鳥
<0272> 小鳥

// <0273> 「ふへへぇ」
<0273> 「ふへへぇ」

// <0274> まんざらでもないようだ。
<0274> まんざらでもないようだ。

// <0275> 小鳥
<0275> 小鳥

// <0276> 「休憩しよっと」
<0276> 「休憩しよっと」

// <0277> 部屋に戻り、コーヒーに口をつける。
<0277> 部屋に戻り、コーヒーに口をつける。

// <0278> 瑚太朗
<0278> 瑚太朗

// <0279> 「しかし全滅してたとはな…気付かなかった」
<0279> 「しかし全滅してたとはな…気付かなかった」

// <0280> 小鳥
<0280> 小鳥

// <0281> 「どうりでハーブ効果がないはずだ」
