// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「お、あれは…」
<0001> 「お、あれは…」

// <0002> ちはや
<0002> ちはや

// <0003> 「こ、瑚太朗…」
<0003> 「こ、瑚太朗…」

// <0004> 瑚太朗
<0004> 瑚太朗

// <0005> 「こんなとこで何してんだちはや」
<0005> 「こんなとこで何してんだちはや」

// <0006> ちはや
<0006> ちはや

// <0007> 「べ、別に何もしてません」
<0007> 「べ、別に何もしてません」

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「あ、そう…」
<0009> 「あ、そう…」

// <0010> ちはや
<0010> ちはや

// <0011> 「………」
<0011> 「………」

// <0012> 瑚太朗
<0012> 瑚太朗

// <0013> 「いや、なんかそんな悲しそうな目をされても…」
<0013> 「いや、なんかそんな悲しそうな目をされても…」

// <0014> ちはや
<0014> ちはや

// <0015> 「そんな目してませんっ！！！」
<0015> 「そんな目してませんっ！！！」

// <0016> 
<0016> 

// <0017> 瑚太朗
<0017> 瑚太朗

// <0018> 「なんだ、ひょっとして迷子か？」
<0018> 「なんだ、ひょっとして迷子か？」

// <0019> ちはや
<0019> ちはや

// <0020> 「迷子て…」
<0020> 「迷子て…」

// <0021> ちはや
<0021> ちはや

// <0022> 「とりあえずっ！　私は大丈夫なんですっ！」
<0022> 「とりあえずっ！　私は大丈夫なんですっ！」

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「あ、そ…じゃあ俺行くわ」
<0024> 「あ、そ…じゃあ俺行くわ」

// <0025> 
<0025> 

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「………」
<0027> 「………」

// <0028> ちはや
<0028> ちはや

// <0029> 「………」
<0029> 「………」

// <0030> 瑚太朗
<0030> 瑚太朗

// <0031> 「なんで付いてくんだ」
<0031> 「なんで付いてくんだ」

// <0032> ちはや
<0032> ちはや

// <0033> 「私の勝手ですっ！」
<0033> 「私の勝手ですっ！」

// <0034> 瑚太朗
<0034> 瑚太朗

// <0035> （こいつ、俺についてきゃ知ってるとこに戻れるとか思ってんな…）
<0035> （こいつ、俺についてきゃ知ってるとこに戻れるとか思ってんな…）

// <0036> 瑚太朗
<0036> 瑚太朗

// <0037> 「まあいいか」
<0037> 「まあいいか」

// <0038> ちはや
<0038> ちはや

// <0039> 「はい？」
<0039> 「はい？」

// <0040> 
<0040> 

// <0041> ちはやが付いてくることになった！
<0041> ちはやが付いてくることになった！

// <0042> ■マッピー／既読■　ID:
<0042> ■マッピー／既読■　ID:

// <0043>  (Z
<0043>  (Z

// <0044> -
<0044> -

// <0045> ■マッピー／コンプリート■
<0045> ■マッピー／コンプリート■

// <0046> 瑚太朗
<0046> 瑚太朗

// <0047> 「お、ありゃ」
<0047> 「お、ありゃ」

// <0048> 静流
<0048> 静流

// <0049> 「………」
<0049> 「………」

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「おーい、静流」
<0051> 「おーい、静流」

// <0052> 静流
<0052> 静流

// <0053> 「コタロー！」
<0053> 「コタロー！」

// <0054> 静流
<0054> 静流

// <0055> 「………」
<0055> 「………」

// <0056> 瑚太朗
<0056> 瑚太朗

// <0057> 「戸惑っているようだ」
<0057> 「戸惑っているようだ」

// <0058> 静流
<0058> 静流

// <0059> 「………」
<0059> 「………」

// <0060> 瑚太朗
<0060> 瑚太朗

// <0061> 「うむ、面を上げい」
<0061> 「うむ、面を上げい」

// <0062> 静流
<0062> 静流

// <0063> 「うむ」
<0063> 「うむ」

// <0064> 瑚太朗
<0064> 瑚太朗

// <0065> 「主従がどっちかわからんな」
<0065> 「主従がどっちかわからんな」

// <0066> 静流
<0066> 静流

// <0067> 「どうしたんだ」
<0067> 「どうしたんだ」

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「いや、街を歩いていただけだ」
<0069> 「いや、街を歩いていただけだ」

// <0070> 
<0070> 

// <0071> 瑚太朗
<0071> 瑚太朗

// <0072> 「そういえば…静流には読唇術があったな」
<0072> 「そういえば…静流には読唇術があったな」

// <0073> 静流
<0073> 静流

// <0074> 「（こくこく）」
<0074> 「（こくこく）」

// <0075> 瑚太朗
<0075> 瑚太朗

// <0076> 「よし、早速生かしてもらおう」
<0076> 「よし、早速生かしてもらおう」

// <0077> 静流
<0077> 静流

// <0078> 「………」
<0078> 「………」

// <0079> 瑚太朗
<0079> 瑚太朗

// <0080> 「お、来てくれるのか？」
<0080> 「お、来てくれるのか？」

// <0081> 静流
<0081> 静流

// <0082> 「（こくこく）」
<0082> 「（こくこく）」

// <0083> 瑚太朗
<0083> 瑚太朗

// <0084> 「よし、じゃあ行こうぜ」
<0084> 「よし、じゃあ行こうぜ」

// <0085> 
<0085> 

// <0086> 静流が付いてくることになった！
<0086> 静流が付いてくることになった！

// <0087> ■マッピー／既読■　ID:
<0087> ■マッピー／既読■　ID:

// <0088>  (Z
<0088>  (Z

// <0089> -
<0089> -

// <0090> ■マッピー／コンプリート■
<0090> ■マッピー／コンプリート■

// <0091> ちはや
<0091> ちはや

// <0092> 「ここはなんです？」
<0092> 「ここはなんです？」

// <0093> 瑚太朗
<0093> 瑚太朗

// <0094> 「ただの住宅街だ」
<0094> 「ただの住宅街だ」

// <0095> 
<0095> 

// <0096> ■マッピー／既読■　ID:
<0096> ■マッピー／既読■　ID:

// <0097>  (Z
<0097>  (Z

// <0098> -
<0098> -

// <0099> ■マッピー／コンプリート■
<0099> ■マッピー／コンプリート■

// <0100> ちはや
<0100> ちはや

// <0101> 「あれはなんです？」
<0101> 「あれはなんです？」

// <0102> 瑚太朗
<0102> 瑚太朗

// <0103> 「ただの犬だ」
<0103> 「ただの犬だ」

// <0104> 
<0104> 

// <0105> ■マッピー／既読■　ID:
<0105> ■マッピー／既読■　ID:

// <0106>  (Z
<0106>  (Z

// <0107> -
<0107> -

// <0108> ■マッピー／コンプリート■
<0108> ■マッピー／コンプリート■

// <0109> ちはや
<0109> ちはや

// <0110> 「そこのって…」
<0110> 「そこのって…」

// <0111> 瑚太朗
<0111> 瑚太朗

// <0112> 「ただのジャイアンリサイタルだ」
