// <0000> 
<0000> 

// <0001> 
<0001> 

// <0002> BS_DT_A
<0002> BS_DT_A

// <0003> １０月２３日(土)
<0003> １０月２３日(土)

// <0004> 週末の朝だ。
<0004> 週末の朝だ。

// <0005> 今日も午前で授業は終わり。
<0005> 今日も午前で授業は終わり。

// <0006> 一部の生徒や教師たちは、午後から収穫祭の準備を始めるはずだ。
<0006> 一部の生徒や教師たちは、午後から収穫祭の準備を始めるはずだ。

// <0007> 俺はといえば…。
<0007> 俺はといえば…。

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「クエスト…」
<0009> 「クエスト…」

// <0010> 今日こそは、と思うのだが。
<0010> 今日こそは、と思うのだが。

// <0011> 瑚太朗
<0011> 瑚太朗

// <0012> 「準備期間が足りなかったかもなあ」
<0012> 「準備期間が足りなかったかもなあ」

// <0013> まあ、いつものように流れに任せよう。
<0013> まあ、いつものように流れに任せよう。

// <0014> 俺はどうやら、関心のない人間については、とことん何も興味がなかったらしい…。
<0014> 俺はどうやら、関心のない人間については、とことん何も興味がなかったらしい…。

// <0015> 瑚太朗
<0015> 瑚太朗

// <0016> 「同じクラスに、こんなにも生き方の不器用なヤツがいたなんてな」
<0016> 「同じクラスに、こんなにも生き方の不器用なヤツがいたなんてな」

// <0017> 此花ルチア、か。
<0017> 此花ルチア、か。

// <0018> 俺は４月からずっと、こんなにも不器用なヤツと同じクラスだったのだ。
<0018> 俺は４月からずっと、こんなにも不器用なヤツと同じクラスだったのだ。

// <0019> ノートに一心不乱にシャーペンを走らせる彼女のその様子から、あのサッカーボールの一件を思い出すことは出来ない。
<0019> ノートに一心不乱にシャーペンを走らせる彼女のその様子から、あのサッカーボールの一件を思い出すことは出来ない。

// <0020> それは、大喧嘩をしたちはやも同じか。涼しげな顔をして同じくノートを取っている。
<0020> それは、大喧嘩をしたちはやも同じか。涼しげな顔をして同じくノートを取っている。

// <0021> 別に委員長にも転校生にも、どっちに肩入れするつもりもないし、二人の仲が悪くなったって知ったことじゃない。
<0021> 別に委員長にも転校生にも、どっちに肩入れするつもりもないし、二人の仲が悪くなったって知ったことじゃない。

// <0022> でも、だからって俺は知らねぇとは言えない。
<0022> でも、だからって俺は知らねぇとは言えない。

// <0023> ……何とかしてやりたいが、どうすればいいのか、わからない。
<0023> ……何とかしてやりたいが、どうすればいいのか、わからない。

// <0024> 吉野
<0024> 吉野

// <0025> 「入学した当初から、あの手のトラブルは何度も起こしてる。有名だぜ」
<0025> 「入学した当初から、あの手のトラブルは何度も起こしてる。有名だぜ」

// <0026> 瑚太朗
<0026> 瑚太朗

// <0027> 「だろうな。あんな生き方じゃ、さぞや周りと何度も激突しただろうよ」
<0027> 「だろうな。あんな生き方じゃ、さぞや周りと何度も激突しただろうよ」

// <0028> 吉野
<0028> 吉野

// <0029> 「その内、誰も関わらなくなった。そして、それが一番ちょうどいい距離だったのさ」
<0029> 「その内、誰も関わらなくなった。そして、それが一番ちょうどいい距離だったのさ」

// <0030> 委員長は潔癖症云々の話さえなければ、真面目だし、根は悪くない。
<0030> 委員長は潔癖症云々の話さえなければ、真面目だし、根は悪くない。

// <0031> その模範的な態度と行動はクラスの代表として、実に相応しかった。
<0031> その模範的な態度と行動はクラスの代表として、実に相応しかった。

// <0032> だから、委員長という一段高くて少し離れた場所が彼女の定位置となったのだ。
<0032> だから、委員長という一段高くて少し離れた場所が彼女の定位置となったのだ。

// <0033> 瑚太朗
<0033> 瑚太朗

// <0034> 「詳しいな。去年、クラス、一緒だったわけじゃねぇんだろ？」
<0034> 「詳しいな。去年、クラス、一緒だったわけじゃねぇんだろ？」

// <0035> 吉野
<0035> 吉野

// <0036> 「あれだけの変わり者なら、普通に耳に飛び込んでくらぁ。荒野じゃ、リボルバーの残弾と情報に疎いヤツは生きていけねぇぜ」
<0036> 「あれだけの変わり者なら、普通に耳に飛び込んでくらぁ。荒野じゃ、リボルバーの残弾と情報に疎いヤツは生きていけねぇぜ」

// <0037> 瑚太朗
<0037> 瑚太朗

// <0038> 「すまねぇな、目先のこと以外に興味がなくて」
<0038> 「すまねぇな、目先のこと以外に興味がなくて」

// <0039> 俺はてっきり、委員長はああいう堅物ではあっても模範的な人物だから。
<0039> 俺はてっきり、委員長はああいう堅物ではあっても模範的な人物だから。

// <0040> 人望相応に人気があり、友人も少なからずいるだろうと思っていた。
