// <0000> 地図に従って歩くと、すぐに川に出る。
<0000> 地図に従って歩くと、すぐに川に出る。

// <0001> ここまではピクニックコースの範疇だ。
<0001> ここまではピクニックコースの範疇だ。

// <0002> 小鳥
<0002> 小鳥

// <0003> 「きれいな川」
<0003> 「きれいな川」

// <0004> さらさらと輝く水は、まさに清流という感じだった。
<0004> さらさらと輝く水は、まさに清流という感じだった。

// <0005> 小鳥が片手にひとすくいした水を口に近づけようとすると、
<0005> 小鳥が片手にひとすくいした水を口に近づけようとすると、

// <0006> 朱音
<0006> 朱音

// <0007> 「おやめなさい」
<0007> 「おやめなさい」

// <0008> ルチア
<0008> ルチア

// <0009> 「よすんだ」
<0009> 「よすんだ」

// <0010> 何人かの人間が、いっせいに小鳥を止めた。
<0010> 何人かの人間が、いっせいに小鳥を止めた。

// <0011> 小鳥
<0011> 小鳥

// <0012> 「ど、どうしたの？」
<0012> 「ど、どうしたの？」

// <0013> 朱音
<0013> 朱音

// <0014> 「川の水はじかに飲まない方がいいわ」
<0014> 「川の水はじかに飲まない方がいいわ」

// <0015> ルチア
<0015> ルチア

// <0016> 「おなかを壊すぞ」
<0016> 「おなかを壊すぞ」

// <0017> 小鳥
<0017> 小鳥

// <0018> 「…これでもおなかは丈夫なんだよ？」
<0018> 「…これでもおなかは丈夫なんだよ？」

// <0019> 朱音
<0019> 朱音

// <0020> 「水は自前のものを飲みなさい」
<0020> 「水は自前のものを飲みなさい」

// <0021> 小鳥
<0021> 小鳥

// <0022> 「はーい…」
<0022> 「はーい…」

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「そうか、自然の中の水じゃあまり清潔ではないか」
<0024> 「そうか、自然の中の水じゃあまり清潔ではないか」

// <0025> 朱音
<0025> 朱音

// <0026> 「この川は上流でいくつかの人里を経由してきているから、口にしないに越したことはないでしょうね」
<0026> 「この川は上流でいくつかの人里を経由してきているから、口にしないに越したことはないでしょうね」

// <0027> ちはや
<0027> ちはや

// <0028> 「生活排水がまざってるかもしれないですしねえ」
<0028> 「生活排水がまざってるかもしれないですしねえ」

// <0029> 小鳥
<0029> 小鳥

// <0030> 「あ、そうか。ばっちいかも」
<0030> 「あ、そうか。ばっちいかも」

// <0031> ルチア
<0031> ルチア

// <0032> 「だめだぞ、そこらにあるものを口に入れたら」
<0032> 「だめだぞ、そこらにあるものを口に入れたら」

// <0033> 小鳥
<0033> 小鳥

// <0034> 「うかつに飲んで、川インフルエンザにでもなったらたいへんだね」
<0034> 「うかつに飲んで、川インフルエンザにでもなったらたいへんだね」

// <0035> 小鳥
<0035> 小鳥

// <0036> 「パンデミック！」
<0036> 「パンデミック！」

// <0037> 朱音
<0037> 朱音

// <0038> 「…新病を作らないで」
<0038> 「…新病を作らないで」

// <0039> ちはや
<0039> ちはや

// <0040> 「口にする前で良かったじゃないですか」
<0040> 「口にする前で良かったじゃないですか」

// <0041> 小鳥
<0041> 小鳥

// <0042> 「うん。あの止めっぷりは一流のチームワークを感じさせたよ」
<0042> 「うん。あの止めっぷりは一流のチームワークを感じさせたよ」

// <0043> ちはや
<0043> ちはや

// <0044> 「オカ研オーエス！」
<0044> 「オカ研オーエス！」

// <0045> 小鳥
<0045> 小鳥

// <0046> 「オーエス！」
<0046> 「オーエス！」

// <0047> 静流
<0047> 静流

// <0048> 「ごくごくごく」
<0048> 「ごくごくごく」

// <0049> ルチア
<0049> ルチア

// <0050> 「まて…それ、うしろ…」
<0050> 「まて…それ、うしろ…」

// <0051> 静流
<0051> 静流

// <0052> 「ごくごくごくごく」
<0052> 「ごくごくごくごく」

// <0053> 瑚太朗
<0053> 瑚太朗

// <0054> 「思いっきり飲んでるじゃねぇか静流！」
<0054> 「思いっきり飲んでるじゃねぇか静流！」

// <0055> 静流
<0055> 静流

// <0056> 「………」
<0056> 「………」

// <0057> 静流
<0057> 静流

// <0058> 「………！」
<0058> 「………！」

// <0059> 静流
<0059> 静流

// <0060> 「グッテイスッ」
<0060> 「グッテイスッ」

// <0061> 瑚太朗
<0061> 瑚太朗

// <0062> 「そんなＣＭ的反応を待っていたわけじゃない！」
<0062> 「そんなＣＭ的反応を待っていたわけじゃない！」

// <0063> 小鳥
<0063> 小鳥

// <0064> 「へ、平気なのかな？　汚いかもしんないのに？」
<0064> 「へ、平気なのかな？　汚いかもしんないのに？」

// <0065> 静流
<0065> 静流

// <0066> 「………」
<0066> 「………」

// <0067> なんでしょう？　とけろりとした顔をする。
<0067> なんでしょう？　とけろりとした顔をする。

// <0068> 瑚太朗
<0068> 瑚太朗

// <0069> 「だめでしょ！　ちゃんとこういうのは煮沸するとかろ過するとか！」
<0069> 「だめでしょ！　ちゃんとこういうのは煮沸するとかろ過するとか！」

// <0070> 静流
<0070> 静流

// <0071> 「舌がちょっとピリピリする」
<0071> 「舌がちょっとピリピリする」

// <0072> 瑚太朗
<0072> 瑚太朗

// <0073> 「やばいって！　絶対やばいってそれ！」
<0073> 「やばいって！　絶対やばいってそれ！」

