// <0000> 決まりだ。後はみんなが集まるのを待とう。
<0000> 決まりだ。後はみんなが集まるのを待とう。

// <0001> 瑚太朗
<0001> 瑚太朗

// <0002> 「見ろ。うまい棒の中に梅ジャムを入れると、なんとうめえ棒になる」
<0002> 「見ろ。うまい棒の中に梅ジャムを入れると、なんとうめえ棒になる」

// <0003> 静流
<0003> 静流

// <0004> 「………！！」
<0004> 「………！！」

// <0005> ちはや
<0005> ちはや

// <0006> 「いや、不味そうなんですけどそれ…」
<0006> 「いや、不味そうなんですけどそれ…」

// <0007> 小鳥
<0007> 小鳥

// <0008> 「そう？　結構美味しいよ」
<0008> 「そう？　結構美味しいよ」

// <0009> ルチア
<0009> ルチア

// <0010> 「………」
<0010> 「………」

// <0011> 瑚太朗
<0011> 瑚太朗

// <0012> 「何だ、どうした」
<0012> 「何だ、どうした」

// <0013> ルチア
<0013> ルチア

// <0014> 「いや、いい…」
<0014> 「いや、いい…」

// <0015> 朱音
<0015> 朱音

// <0016> 「まずったわ…今時サウンドボードの相性？　後で検証に回さないと…」
<0016> 「まずったわ…今時サウンドボードの相性？　後で検証に回さないと…」

// <0017> ルチア
<0017> ルチア

// <0018> 「おおよその原因はこちらにあると思う」
<0018> 「おおよその原因はこちらにあると思う」

// <0019> 朱音
<0019> 朱音

// <0020> 「何？」
<0020> 「何？」

// <0021> ルチア
<0021> ルチア

// <0022> 「…およそ私には理解できないんだが、何なんだ現状のこの部活は」
<0022> 「…およそ私には理解できないんだが、何なんだ現状のこの部活は」

// <0023> 朱音
<0023> 朱音

// <0024> 「文化系部活のあるべき姿と思うわよ」
<0024> 「文化系部活のあるべき姿と思うわよ」

// <0025> ちはや
<0025> ちはや

// <0026> 「いいじゃないですか～。のんびりしてて」
<0026> 「いいじゃないですか～。のんびりしてて」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「おう、おまえもこっち来てＵＮＯやろうぜ」
<0028> 「おう、おまえもこっち来てＵＮＯやろうぜ」

// <0029> ルチア
<0029> ルチア

// <0030> 「待て。首謀者はおまえだろう」
<0030> 「待て。首謀者はおまえだろう」

// <0031> 瑚太朗
<0031> 瑚太朗

// <0032> 「ん？」
<0032> 「ん？」

// <0033> ルチア
<0033> ルチア

// <0034> 「やっぱりこっちに文句を言うことにする」
<0034> 「やっぱりこっちに文句を言うことにする」

// <0035> 瑚太朗
<0035> 瑚太朗

// <0036> 「俺？」
<0036> 「俺？」

// <0037> ルチア
<0037> ルチア

// <0038> 「なんなんだ…静流が手伝うというから私も来てやっているというのに、この体たらくはっ」
<0038> 「なんなんだ…静流が手伝うというから私も来てやっているというのに、この体たらくはっ」

// <0039> 静流
<0039> 静流

// <0040> 「りばーす」
<0040> 「りばーす」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「げ、俺の前で」
<0042> 「げ、俺の前で」

// <0043> ルチア
<0043> ルチア

// <0044> 「聞けーーーっ！！！」
<0044> 「聞けーーーっ！！！」

// <0045> 瑚太朗
<0045> 瑚太朗

// <0046> 「ああ、聞いてるって…なんだ？」
<0046> 「ああ、聞いてるって…なんだ？」

// <0047> …はた、と気付く。
<0047> …はた、と気付く。

// <0048> 瑚太朗
<0048> 瑚太朗

// <0049> 「クエストだーーーーー！」
<0049> 「クエストだーーーーー！」

// <0050> 忘れてた！
<0050> 忘れてた！

// <0051> 静流
<0051> 静流

// <0052> 「うむ」
<0052> 「うむ」

// <0053> ルチア
<0053> ルチア

// <0054> 「まさかと思うが、静流までこのアホと共謀して動いてるんじゃないだろうな…」
<0054> 「まさかと思うが、静流までこのアホと共謀して動いてるんじゃないだろうな…」

// <0055> 静流
<0055> 静流

// <0056> 「そんなことはない」
<0056> 「そんなことはない」

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「というわけで、今回のネタはこれだ！」
<0058> 「というわけで、今回のネタはこれだ！」

// <0059> 『敷金礼金なし、幽霊同居物件案内』とホワイトボードに殴り書きする。
<0059> 『敷金礼金なし、幽霊同居物件案内』とホワイトボードに殴り書きする。

// <0060> ちはや
<0060> ちはや

// <0061> 「なんだかよくわからないんですけどー」
<0061> 「なんだかよくわからないんですけどー」

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「これに関しちゃ確かによくわからんが、似たようなのがブログのほうにも来てたと思うんだ」
<0063> 「これに関しちゃ確かによくわからんが、似たようなのがブログのほうにも来てたと思うんだ」

// <0064> 小鳥
<0064> 小鳥

// <0065> 「じゃ、コメントチェックでもー」
<0065> 「じゃ、コメントチェックでもー」

// <0066> 瑚太朗
<0066> 瑚太朗

// <0067> 「おう」
<0067> 「おう」

// <0068> 小鳥
<0068> 小鳥

// <0069> 「でんでららららら…」
<0069> 「でんでららららら…」

// <0070> 小鳥
<0070> 小鳥

// <0071> 「じゃん」
