// <0000> 瑚太朗
<0000> 瑚太朗

// <0001> 「木人伝説か…」
<0001> 「木人伝説か…」

// <0002> 風祭にはＵＭＡ目撃情報が非常に多い。
<0002> 風祭にはＵＭＡ目撃情報が非常に多い。

// <0003> これもその一つではあるが、怪物的なものや古代生物なんかとは違う雰囲気が気に入った。
<0003> これもその一つではあるが、怪物的なものや古代生物なんかとは違う雰囲気が気に入った。

// <0004> 瑚太朗
<0004> 瑚太朗

// <0005> 「よし、決まりだ！」
<0005> 「よし、決まりだ！」

// <0006> 瑚太朗
<0006> 瑚太朗

// <0007> 「全員揃ったな」
<0007> 「全員揃ったな」

// <0008> 小鳥
<0008> 小鳥

// <0009> 「今日は大きい調査なんだよね」
<0009> 「今日は大きい調査なんだよね」

// <0010> 瑚太朗
<0010> 瑚太朗

// <0011> 「ああ、今日のお題はこれだ！」
<0011> 「ああ、今日のお題はこれだ！」

// <0012> ホワイトボードに『木人伝説を追う！』と書き殴る。
<0012> ホワイトボードに『木人伝説を追う！』と書き殴る。

// <0013> ちはや
<0013> ちはや

// <0014> 「なんですこれ？」
<0014> 「なんですこれ？」

// <0015> 瑚太朗
<0015> 瑚太朗

// <0016> 「実際のところ、俺にもよく分からないが…木が人の形をしている、もしくは木のようになった人が森で目撃されたようだ」
<0016> 「実際のところ、俺にもよく分からないが…木が人の形をしている、もしくは木のようになった人が森で目撃されたようだ」

// <0017> 小鳥
<0017> 小鳥

// <0018> 「…うーん」
<0018> 「…うーん」

// <0019> 朱音＿不要
<0019> 朱音＿不要

// <0020> 「………」
<0020> 「………」

// <0021> 瑚太朗
<0021> 瑚太朗

// <0022> 「なんだね、二人とも難しい顔して…」
<0022> 「なんだね、二人とも難しい顔して…」

// <0023> 朱音＿不要
<0023> 朱音＿不要

// <0024> 「………」
<0024> 「………」

// <0025> 瑚太朗
<0025> 瑚太朗

// <0026> 「…会長、ひょっとして森って所に引っかかってるんでしょうか」
<0026> 「…会長、ひょっとして森って所に引っかかってるんでしょうか」

// <0027> よく考えてみたら、ここで引きこもってる人が森なんかにハイキングに行くこともないだろう。
<0027> よく考えてみたら、ここで引きこもってる人が森なんかにハイキングに行くこともないだろう。

// <0028> 瑚太朗
<0028> 瑚太朗

// <0029> 「やっぱ嫌ですか？」
<0029> 「やっぱ嫌ですか？」

// <0030> 朱音＿不要
<0030> 朱音＿不要

// <0031> 「………」
<0031> 「………」

// <0032> 瑚太朗
<0032> 瑚太朗

// <0033> 「いくら嫌でも自分の口で反応くらいしてください…」
<0033> 「いくら嫌でも自分の口で反応くらいしてください…」

// <0034> 会長のＰＣから声が響いていた。
<0034> 会長のＰＣから声が響いていた。

// <0035> ルチア
<0035> ルチア

// <0036> 「なるほど、しかし午後だけで森をくまなく調査するなんて不可能だぞ」
<0036> 「なるほど、しかし午後だけで森をくまなく調査するなんて不可能だぞ」

// <0037> 瑚太朗
<0037> 瑚太朗

// <0038> 「そうだな…でも、出来る限りのことはしたいところだ」
<0038> 「そうだな…でも、出来る限りのことはしたいところだ」

// <0039> 静流
<0039> 静流

// <0040> 「ハイキングか…」
<0040> 「ハイキングか…」

// <0041> 瑚太朗
<0041> 瑚太朗

// <0042> 「まあ、そういうレベルかも知れないが」
<0042> 「まあ、そういうレベルかも知れないが」

// <0043> 瑚太朗
<0043> 瑚太朗

// <0044> 「というわけだ。早速森に向かおう！」
<0044> 「というわけだ。早速森に向かおう！」

// <0045> 朱音＿不要
<0045> 朱音＿不要

// <0046> 「………」
<0046> 「………」

// <0047> 瑚太朗
<0047> 瑚太朗

// <0048> 「嫌そうな声とか適当に探さんでください」
<0048> 「嫌そうな声とか適当に探さんでください」

// <0049> もうちょっといいのなかったんかい。
<0049> もうちょっといいのなかったんかい。

// <0050> ちはや
<0050> ちはや

// <0051> 「準備とか要りそうですねえ」
<0051> 「準備とか要りそうですねえ」

// <0052> 瑚太朗
<0052> 瑚太朗

// <0053> 「そうだな、最低限のものは持っていくべきだ」
<0053> 「そうだな、最低限のものは持っていくべきだ」

// <0054> 静流
<0054> 静流

// <0055> 「………」
<0055> 「………」

// <0056> 静流はてきぱきとテントセットを準備し始めていた。
<0056> 静流はてきぱきとテントセットを準備し始めていた。

// <0057> 瑚太朗
<0057> 瑚太朗

// <0058> 「静流、準備がいいのは結構だが、基本日帰りだ…」
<0058> 「静流、準備がいいのは結構だが、基本日帰りだ…」

// <0059> 静流
<0059> 静流

// <0060> 「むう」
<0060> 「むう」

// <0061> 小鳥
<0061> 小鳥

// <0062> 「本当に森の浅いところだけ回るんだよね？」
<0062> 「本当に森の浅いところだけ回るんだよね？」

// <0063> ルチア
<0063> ルチア

// <0064> 「というか、それ以外はできそうにもないぞ」
<0064> 「というか、それ以外はできそうにもないぞ」

// <0065> ルチア
<0065> ルチア

// <0066> 「広い森をただうろうろするだけになりそうだしな」
<0066> 「広い森をただうろうろするだけになりそうだしな」

// <0067> 瑚太朗
<0067> 瑚太朗

// <0068> 「…そうだけどさあ」
<0068> 「…そうだけどさあ」

// <0069> 確かに、風祭の周辺の森は広く、深い。
<0069> 確かに、風祭の周辺の森は広く、深い。

// <0070> 本来なら丸一日かけて、さらに言えばそれこそテントでも持ち込んで探したいくらいだ。
<0070> 本来なら丸一日かけて、さらに言えばそれこそテントでも持ち込んで探したいくらいだ。

// <0071> でも、それはこの娘さんがたには少々辛いものになるのは、想像に難くない。
<0071> でも、それはこの娘さんがたには少々辛いものになるのは、想像に難くない。

// <0072> せめて前日から準備を伝えておくべきだったか…。
<0072> せめて前日から準備を伝えておくべきだったか…。

// <0073> 瑚太朗
<0073> 瑚太朗

// <0074> 「でも、やっぱできるだけ奥にいきたいよ。すぐ行けるとこなんかに謎の生物がいるわけもないし」
<0074> 「でも、やっぱできるだけ奥にいきたいよ。すぐ行けるとこなんかに謎の生物がいるわけもないし」

// <0075> いるならもっと早く見つかって大騒ぎだ。
<0075> いるならもっと早く見つかって大騒ぎだ。

// <0076> ルチア
<0076> ルチア

// <0077> 「迷ったりしたら大変だぞ」
<0077> 「迷ったりしたら大変だぞ」

// <0078> 瑚太朗
<0078> 瑚太朗

