// <0000> すぐさま救急車で運ばれる。
<0000> すぐさま救急車で運ばれる。

// <0001> 瑚太朗
<0001> 瑚太朗

// <0002> 「…大丈夫かなぁ…俺、あの火事で生き残ってるとかおかしいし…」
<0002> 「…大丈夫かなぁ…俺、あの火事で生き残ってるとかおかしいし…」

// <0003> ちはや
<0003> ちはや

// <0004> 「とりあえず、ここガイアの病院ですから」
<0004> 「とりあえず、ここガイアの病院ですから」

// <0005> 瑚太朗
<0005> 瑚太朗

// <0006> 「そっか…」
<0006> 「そっか…」

// <0007> ちはや
<0007> ちはや

// <0008> 「あと…テンジンですけど」
<0008> 「あと…テンジンですけど」

// <0009> ちはや
<0009> ちはや

// <0010> 「咲夜がガイア本部に引き渡したそうです」
<0010> 「咲夜がガイア本部に引き渡したそうです」

// <0011> ちはや
<0011> ちはや

// <0012> 「…この後どうなるかは知りませんけど…」
<0012> 「…この後どうなるかは知りませんけど…」

// <0013> 瑚太朗
<0013> 瑚太朗

// <0014> 「そっか…」
<0014> 「そっか…」

// <0015> 俺はミドウを死なせた。
<0015> 俺はミドウを死なせた。

// <0016> テンジンは生きている。
<0016> テンジンは生きている。

// <0017> あいつは、咲夜はそれを、簡単に、一人で…。
<0017> あいつは、咲夜はそれを、簡単に、一人で…。

// <0018> 瑚太朗
<0018> 瑚太朗

// <0019> 「………」
<0019> 「………」

// <0020> 担ぎ込まれて、すぐに治療を受ける。
<0020> 担ぎ込まれて、すぐに治療を受ける。

// <0021> が、身体の傷はほとんどが回復に向かっている状態。
<0021> が、身体の傷はほとんどが回復に向かっている状態。

// <0022> …全身の何％が火傷になると死ぬんだっけ…。
<0022> …全身の何％が火傷になると死ぬんだっけ…。

// <0023> 俺は、確実にそれを超えてるはずなのに。
<0023> 俺は、確実にそれを超えてるはずなのに。

// <0024> …俺、もうほとんど化け物だな…。
<0024> …俺、もうほとんど化け物だな…。

// <0025> 
<0025> 

// <0026> ちはや
<0026> ちはや

// <0027> 「咲夜…！！」
<0027> 「咲夜…！！」

// <0028> 咲夜
<0028> 咲夜

// <0029> 「大丈夫でしたか、ちはやさん」
<0029> 「大丈夫でしたか、ちはやさん」

// <0030> ちはや
<0030> ちはや

// <0031> 「ええ…制服とか、ちょっと焦げちゃいましたけど…」
<0031> 「ええ…制服とか、ちょっと焦げちゃいましたけど…」

// <0032> ちはや
<0032> ちはや

// <0033> 「それより、そっちは大丈夫でした？　こっちに来る余裕もなかったみたいですけど…」
<0033> 「それより、そっちは大丈夫でした？　こっちに来る余裕もなかったみたいですけど…」

// <0034> 咲夜
<0034> 咲夜

// <0035> 「申し訳ありません。キリマンジャロとかに絡まれていまして」
<0035> 「申し訳ありません。キリマンジャロとかに絡まれていまして」

// <0036> ぎる
<0036> ぎる

// <0037> 「こいつ…やべえ…」
<0037> 「こいつ…やべえ…」

// <0038> ぱに
<0038> ぱに

// <0039> 「姿を捉えたら、後はほとんど一瞬でしたわ…」
<0039> 「姿を捉えたら、後はほとんど一瞬でしたわ…」

// <0040> 咲夜
<0040> 咲夜

// <0041> 「そうでもありません。包帯を破られたのは本当にピンチだったんですよ」
<0041> 「そうでもありません。包帯を破られたのは本当にピンチだったんですよ」

// <0042> 咲夜
<0042> 咲夜

// <0043> 「今の私に防御能力はありませんから」
<0043> 「今の私に防御能力はありませんから」

// <0044> ちはや
<0044> ちはや

// <0045> 「そうですね…ミドウ相手だったら、咲夜でも危なかったかもしれません」
<0045> 「そうですね…ミドウ相手だったら、咲夜でも危なかったかもしれません」

// <0046> 咲夜
<0046> 咲夜

// <0047> 「それでも、そのミドウは瑚太朗君が倒したのでしょう」
<0047> 「それでも、そのミドウは瑚太朗君が倒したのでしょう」

// <0048> ちはや
<0048> ちはや

// <0049> 「ええ…」
<0049> 「ええ…」

// <0050> 咲夜
<0050> 咲夜

// <0051> 「ちはやさんのサポートがあればこそ、といったところでしょうか」
<0051> 「ちはやさんのサポートがあればこそ、といったところでしょうか」

// <0052> ちはや
<0052> ちはや

// <0053> 「…瑚太朗、強くなってますよ」
<0053> 「…瑚太朗、強くなってますよ」

// <0054> 咲夜
<0054> 咲夜

// <0055> 「そうですね。守るものがあれば人は強くなります」
<0055> 「そうですね。守るものがあれば人は強くなります」

// <0056> 咲夜
<0056> 咲夜

// <0057> 「ですが、それゆえに命を落とす危険も大きい」
<0057> 「ですが、それゆえに命を落とす危険も大きい」

// <0058> 咲夜
<0058> 咲夜

// <0059> 「瑚太朗君は、あまり戦わないほうがいいのかもしれません」
<0059> 「瑚太朗君は、あまり戦わないほうがいいのかもしれません」

// <0060> ちはや
<0060> ちはや

// <0061> 「………」
<0061> 「………」

// <0062> 咲夜
<0062> 咲夜

// <0063> 「それに…」
<0063> 「それに…」

// <0064> 咲夜
<0064> 咲夜

