// <0000> あの日から、数日を経た。
<0000> あの日から、数日を経た。

// <0001> しかし俺は、信じられないくらいに当たり前な、平穏な日々を過ごせている。
<0001> しかし俺は、信じられないくらいに当たり前な、平穏な日々を過ごせている。

// <0002> 恐らくそれこそが、……彼らの秘密を口外しないことに対する、俺への“見返り”なのだろう。
<0002> 恐らくそれこそが、……彼らの秘密を口外しないことに対する、俺への“見返り”なのだろう。

// <0003> ……ガーディアン、と言ったか。
<0003> ……ガーディアン、と言ったか。

// <0004> 世界規模の秘密結社の暗躍。
<0004> 世界規模の秘密結社の暗躍。

// <0005> そして潔癖のクラス委員長がそのエージェントで。
<0005> そして潔癖のクラス委員長がそのエージェントで。

// <0006> それを口外してはならないと脅されていて。
<0006> それを口外してはならないと脅されていて。

// <0007> 瑚太朗
<0007> 瑚太朗

// <0008> 「……口外しても、誰も信じねぇだろうな」
<0008> 「……口外しても、誰も信じねぇだろうな」

// <0009> 西九条先生までも、その組織の人間だった。
<0009> 西九条先生までも、その組織の人間だった。

// <0010> 普段の、あのおっとりとした様子から、秘密結社のエージェントだなんて、想像もつかない。
<0010> 普段の、あのおっとりとした様子から、秘密結社のエージェントだなんて、想像もつかない。

// <0011> 西九条先生と学校ですれ違うことはあった。
<0011> 西九条先生と学校ですれ違うことはあった。

// <0012> しかし、意味深に微笑むわけでもなく、これまで同様に、他のクラスの先生という感じで、よそよそしく接してくれた。
<0012> しかし、意味深に微笑むわけでもなく、これまで同様に、他のクラスの先生という感じで、よそよそしく接してくれた。

// <0013> 真実は小説より何とやらか。
<0013> 真実は小説より何とやらか。

// <0014> あるいは、小説のようなことが本当に堂々と起こっているのが、現実というものなのかもしれない。
<0014> あるいは、小説のようなことが本当に堂々と起こっているのが、現実というものなのかもしれない。

// <0015> ガーディアンとは、地球を守るボランティアだと、彼女らは言ったな。
<0015> ガーディアンとは、地球を守るボランティアだと、彼女らは言ったな。

// <0016> 西九条先生の口からそれを聞くと、少々胡散臭いが。
<0016> 西九条先生の口からそれを聞くと、少々胡散臭いが。

// <0017> ……同じ言葉がルチアの口からも聞けるなら、…信じられないわけじゃない。
<0017> ……同じ言葉がルチアの口からも聞けるなら、…信じられないわけじゃない。

// <0018> 此花ルチアは、鉄拳制裁委員長として、今日も職務に勤しんでいる…。
<0018> 此花ルチアは、鉄拳制裁委員長として、今日も職務に勤しんでいる…。

// <0019> ……一度は仲直りしたはずのちはやとの関係も、先日の一件でまた疎遠になってしまっている。
<0019> ……一度は仲直りしたはずのちはやとの関係も、先日の一件でまた疎遠になってしまっている。

// <0020> 前のような、教室の空気を窒息させるようなギスギス感はないが、あまり気持ちのいいものではない。
<0020> 前のような、教室の空気を窒息させるようなギスギス感はないが、あまり気持ちのいいものではない。

// <0021> また折を見て、仲直りの機会を設けるべきだろう。
<0021> また折を見て、仲直りの機会を設けるべきだろう。

// <0022> サンタブローシアのことは、忘れろと釘を刺されてる。
<0022> サンタブローシアのことは、忘れろと釘を刺されてる。

// <0023> しかし、ルチアの辛い過去について、掻い摘んででも説明することが出来れば、きっとちはやだって理解してくれるだろう。
<0023> しかし、ルチアの辛い過去について、掻い摘んででも説明することが出来れば、きっとちはやだって理解してくれるだろう。

// <0024> もうじき、収穫祭を迎える。
<0024> もうじき、収穫祭を迎える。

// <0025> 町全体が賑やかなお祭り騒ぎになる。
<0025> 町全体が賑やかなお祭り騒ぎになる。

// <0026> その雰囲気と勢いに乗じて、何とか仲直りをさせてやりたいところだ。
<0026> その雰囲気と勢いに乗じて、何とか仲直りをさせてやりたいところだ。

// <0027> 俺は勝手に、収穫祭当日に必ず、二人を仲直りさせようと目標を設置するのだった…。
<0027> 俺は勝手に、収穫祭当日に必ず、二人を仲直りさせようと目標を設置するのだった…。

// <0028> 瑚太朗
<0028> 瑚太朗

// <0029> 「確かこの角だったよな…」
<0029> 「確かこの角だったよな…」

// <0030> ビンゴ。角を曲がると、ルチアのアパートが見えた。
<0030> ビンゴ。角を曲がると、ルチアのアパートが見えた。

// <0031> 確か、２階の一番奥の部屋だ。
<0031> 確か、２階の一番奥の部屋だ。

// <0032> 時間もぴったり。午後８時。
<0032> 時間もぴったり。午後８時。

// <0033> 俺の脳内ナビも、まだまだ携帯ごときには負けないらしい。
<0033> 俺の脳内ナビも、まだまだ携帯ごときには負けないらしい。

// <0034> 本当は７時に来いと呼ばれたんだ。
<0034> 本当は７時に来いと呼ばれたんだ。

// <0035> しかし先ほど、もう１時間遅く来いとメールが来たのだ。
<0035> しかし先ほど、もう１時間遅く来いとメールが来たのだ。

// <0036> ……どうして、こんな時間に俺がルチアの家に呼ばれるのか？
<0036> ……どうして、こんな時間に俺がルチアの家に呼ばれるのか？

// <0037> 彼女は一方的に来いと言うだけで、理由を教えてくれなかったが、心当たりはあった。
<0037> 彼女は一方的に来いと言うだけで、理由を教えてくれなかったが、心当たりはあった。

// <0038> 瑚太朗
<0038> 瑚太朗

// <0039> 「あれだな。……先日の、病院での悪ふざけの件だな」
<0039> 「あれだな。……先日の、病院での悪ふざけの件だな」

// <0040> 瑚太朗
<0040> 瑚太朗

// <0041> 「まさか、本気にしてくれていたとは…」
<0041> 「まさか、本気にしてくれていたとは…」

// <0042> 先日の病院で調子に乗って、ガーディアンのことを秘密にする代わりにと、色々な条件を出した。
<0042> 先日の病院で調子に乗って、ガーディアンのことを秘密にする代わりにと、色々な条件を出した。

// <0043> その中の一つに確か、食事をご馳走してくれというのが含まれていた。
<0043> その中の一つに確か、食事をご馳走してくれというのが含まれていた。

// <0044> 軽い冗談のつもりだったんだが、まさか、本気にしてくれるとは。
<0044> 軽い冗談のつもりだったんだが、まさか、本気にしてくれるとは。

// <0045> ……いやいや、その辺を大マジで受け取るのが、委員長らしいといえば実に委員長らしい。
<0045> ……いやいや、その辺を大マジで受け取るのが、委員長らしいといえば実に委員長らしい。

// <0046> 彼女は、……触れたものに毒を残してしまう。
<0046> 彼女は、……触れたものに毒を残してしまう。

// <0047> 手料理を誰かに振舞うなど、彼女には禁忌だったのだ。
<0047> 手料理を誰かに振舞うなど、彼女には禁忌だったのだ。

// <0048> 彼女を孤立させる、毒という垣根。
<0048> 彼女を孤立させる、毒という垣根。

// <0049> それを越えることが出来る俺の存在が、彼女にわずかの勇気や元気を与えることが出来ればいいのだが…。
<0049> それを越えることが出来る俺の存在が、彼女にわずかの勇気や元気を与えることが出来ればいいのだが…。

// <0050> 瑚太朗
<0050> 瑚太朗

// <0051> 「……なんて、偉そうなことを考えても。やっぱり緊張するよな」
<0051> 「……なんて、偉そうなことを考えても。やっぱり緊張するよな」

// <0052> こんな時間に、女の子の家にお呼ばれして、手料理を振舞われるなんて。
<0052> こんな時間に、女の子の家にお呼ばれして、手料理を振舞われるなんて。

// <0053> そんな出来過ぎな経験、ゲームの中でしかお目にかかったことがねぇぜ。
<0053> そんな出来過ぎな経験、ゲームの中でしかお目にかかったことがねぇぜ。

// <0054> うーん、ガラにもなく緊張するな。
<0054> うーん、ガラにもなく緊張するな。

// <0055> ２０４号室、此花。……ここだ、ここだ。
<0055> ２０４号室、此花。……ここだ、ここだ。

// <0056> ピンポン、
<0056> ピンポン、

// <0057> ピンポン。
<0057> ピンポン。

// <0058> しばらくして、インターホンから彼女の声が聞こえてきた。
<0058> しばらくして、インターホンから彼女の声が聞こえてきた。

// <0059> しかしその声は、緊迫感を伴うものだった。
<0059> しかしその声は、緊迫感を伴うものだった。

// <0060> ルチア
<0060> ルチア

// <0061> 『天王寺瑚太朗だな！？』
<0061> 『天王寺瑚太朗だな！？』

// <0062> 瑚太朗
<0062> 瑚太朗

// <0063> 「他の誰に見える。お前のインターホン、カメラ壊れてんのか」
<0063> 「他の誰に見える。お前のインターホン、カメラ壊れてんのか」

// <0064> ルチア
<0064> ルチア

// <0065> 『み、見ればわかるっ。ほ、他には誰もいないだろうな…！？　誰にもつけられてないだろうな！？』
<0065> 『み、見ればわかるっ。ほ、他には誰もいないだろうな…！？　誰にもつけられてないだろうな！？』

// <0066> 瑚太朗
<0066> 瑚太朗

// <0067> 「な、何だよ物騒だな。わかったわかった、確認する…」
<0067> 「な、何だよ物騒だな。わかったわかった、確認する…」

// <0068> 彼女の言葉には、明らかな緊張感があった。
<0068> 彼女の言葉には、明らかな緊張感があった。

// <0069> 俺は食事にお呼ばれしたなんて、ウキウキしてたんだが、それが吹き飛ぶ。
<0069> 俺は食事にお呼ばれしたなんて、ウキウキしてたんだが、それが吹き飛ぶ。

// <0070> どうやら、浮かれていていい状況ではないらしい…。
<0070> どうやら、浮かれていていい状況ではないらしい…。

// <0071> ……そうだよな、ルチアは秘密結社の一員だ。
<0071> ……そうだよな、ルチアは秘密結社の一員だ。

// <0072> 何か、ヤバイ事態でも起きたのだろうか。
<0072> 何か、ヤバイ事態でも起きたのだろうか。

// <0073> いや、……そもそも、今日、こうして呼ばれたのは、食事ではなく、もっと重要な何かなのではないか…？
<0073> いや、……そもそも、今日、こうして呼ばれたのは、食事ではなく、もっと重要な何かなのではないか…？

// <0074> 浮かれ気分をもう一度振り払い、慎重に辺りの様子をうかがう…。
<0074> 浮かれ気分をもう一度振り払い、慎重に辺りの様子をうかがう…。

// <0075> 瑚太朗
<0075> 瑚太朗

// <0076> 「……安心しろ。誰の尾行もない」
<0076> 「……安心しろ。誰の尾行もない」

// <0077> ルチア
<0077> ルチア

// <0078> 『ま、間違いないな…？　ここへ来ることは誰にも知られていないな！？』
<0078> 『ま、間違いないな…？　ここへ来ることは誰にも知られていないな！？』

// <0079> 瑚太朗
<0079> 瑚太朗

// <0080> 「あぁ。俺はちゃんと約束したぜ。余計なことは喋らないってな。信用しろって」
<0080> 「あぁ。俺はちゃんと約束したぜ。余計なことは喋らないってな。信用しろって」

// <0081> ルチア
<0081> ルチア

// <0082> 『……う、…うむ』
<0082> 『……う、…うむ』

// <0083> やはり、手料理を振舞うために呼ばれた、なんてのは、俺の希望的憶測に過ぎないようだ。
<0083> やはり、手料理を振舞うために呼ばれた、なんてのは、俺の希望的憶測に過ぎないようだ。

// <0084> ……彼女を一人にしないと誓った。
