// <0000> 遠くでずっと、……悲しげな風の音が聞こえる。
<0000> 遠くでずっと、……悲しげな風の音が聞こえる。

// <0001> あるいはそれは、波の音。
<0001> あるいはそれは、波の音。

// <0002> ……それが、自分の血潮が巡る音だと、ようやく気付く。
<0002> ……それが、自分の血潮が巡る音だと、ようやく気付く。

// <0003> …俺は朦朧としながら、鼓動というものをどうやってやるのか、思い出す……。
<0003> …俺は朦朧としながら、鼓動というものをどうやってやるのか、思い出す……。

// <0004> 俺は、………何をやってんだ…？
<0004> 俺は、………何をやってんだ…？

// <0005> ………何、……倒れてんだよ……。
<0005> ………何、……倒れてんだよ……。

// <0006> ルチアの毒を、…受け入れられる体にしたんじゃ、なかったのかよ…。
<0006> ルチアの毒を、…受け入れられる体にしたんじゃ、なかったのかよ…。

// <0007> ……確かに、ルチアの体から、ものすごい毒の瘴気が噴出したのは知ってる。
<0007> ……確かに、ルチアの体から、ものすごい毒の瘴気が噴出したのは知ってる。

// <0008> 俺の腕に、痣を残した時のそれとは、まったく比べ物にならない、ものすごい毒だった。
<0008> 俺の腕に、痣を残した時のそれとは、まったく比べ物にならない、ものすごい毒だった。

// <0009> ……しかし、……それでも、…ルチアの毒じゃないかよ……。
<0009> ……しかし、……それでも、…ルチアの毒じゃないかよ……。

// <0010> それを、……俺はまた、……受け入れられなくて…。…また、……ルチアを、……悲しませてしまったんでは……。
<0010> それを、……俺はまた、……受け入れられなくて…。…また、……ルチアを、……悲しませてしまったんでは……。

// <0011> ……何やってんだよ、…………俺………。
<0011> ……何やってんだよ、…………俺………。

// <0012> こんなとこで、……寝てる場合じゃないだろ……。
<0012> こんなとこで、……寝てる場合じゃないだろ……。

// <0013> ………………。
<0013> ………………。

// <0014> 踏んでやるよ。俺のアクセルを、……全部全部………。
<0014> 踏んでやるよ。俺のアクセルを、……全部全部………。

// <0015> 踏んで、踏み潰して、限界まで……。
<0015> 踏んで、踏み潰して、限界まで……。

// <0016> 体の芯が、めらめらと燃え上がる。
<0016> 体の芯が、めらめらと燃え上がる。

// <0017> まるで、体中に染み渡った真っ黒な毒素を焼き尽くすかのように。
<0017> まるで、体中に染み渡った真っ黒な毒素を焼き尽くすかのように。

// <0018> この毒に、再び打ち克つ。
<0018> この毒に、再び打ち克つ。

// <0019> ……この毒が当たり前であるルチアの域に、……達するんだ…。
<0019> ……この毒が当たり前であるルチアの域に、……達するんだ…。

// <0020> 瑚太朗
