// <0000> 【月光散歩】
<0000> 【月光散歩】

// <0001> 瑚太朗＿必要
<0001> 瑚太朗＿必要

// <0002> …眠れない夜だった。
<0002> …眠れない夜だった。

// <0003> 瑚太朗＿必要
<0003> 瑚太朗＿必要

// <0004> 眠る必要がない夜だった。
<0004> 眠る必要がない夜だった。

// <0005> 瑚太朗
<0005> 瑚太朗

// <0006> （でも、なぜかおかしいとは感じない…）
<0006> （でも、なぜかおかしいとは感じない…）

// <0007> 瑚太朗＿必要
<0007> 瑚太朗＿必要

// <0008> 部屋の空気は化石になってしまったみたいに乾いている。
<0008> 部屋の空気は化石になってしまったみたいに乾いている。

// <0009> 瑚太朗＿必要
<0009> 瑚太朗＿必要

// <0010> ここには長くいられない。
<0010> ここには長くいられない。

// <0011> 瑚太朗＿必要
<0011> 瑚太朗＿必要

// <0012> 外に出てみることにする。
<0012> 外に出てみることにする。

// <0013> 瑚太朗＿必要
<0013> 瑚太朗＿必要

// <0014> 目的地は決まっている気がした。
<0014> 目的地は決まっている気がした。

// <0015> 瑚太朗＿必要
<0015> 瑚太朗＿必要

// <0016> 丘…
<0016> 丘…

// <0017> 瑚太朗＿必要
<0017> 瑚太朗＿必要

// <0018> あの、丘に行くべきだ。
<0018> あの、丘に行くべきだ。

// <0019> 瑚太朗＿必要
<0019> 瑚太朗＿必要

// <0020> うすぼんやりとだが、今の俺にはわかることがいくつかある。
<0020> うすぼんやりとだが、今の俺にはわかることがいくつかある。

// <0021> 瑚太朗＿必要
<0021> 瑚太朗＿必要

// <0022> 知識ではなく、なんとなくそうだという判断が頭に浮かぶ。
<0022> 知識ではなく、なんとなくそうだという判断が頭に浮かぶ。

// <0023> 瑚太朗＿必要
<0023> 瑚太朗＿必要

// <0024> まるで起こることを予知しているみたいだ。
<0024> まるで起こることを予知しているみたいだ。

// <0025> 瑚太朗＿必要
<0025> 瑚太朗＿必要

// <0026> 未来の出来事を事前に知っている？
<0026> 未来の出来事を事前に知っている？

// <0027> 瑚太朗＿必要
<0027> 瑚太朗＿必要

// <0028> 未来？
<0028> 未来？

// <0029> 瑚太朗＿必要
<0029> 瑚太朗＿必要

// <0030> その言い方は正しいのか？
<0030> その言い方は正しいのか？

// <0031> 瑚太朗＿必要
<0031> 瑚太朗＿必要

// <0032> 過去とか未来とかいう単語が、いまいち馴染まない。
<0032> 過去とか未来とかいう単語が、いまいち馴染まない。

// <0033> 瑚太朗＿必要
<0033> 瑚太朗＿必要

// <0034> 正しくない。ここでは。
<0034> 正しくない。ここでは。

// <0035> 瑚太朗＿必要
<0035> 瑚太朗＿必要

// <0036> 気楽な学生にとって、戦争や諜報活動といった単語が、遠い世界の出来事であるのと同じに。
<0036> 気楽な学生にとって、戦争や諜報活動といった単語が、遠い世界の出来事であるのと同じに。

// <0037> 瑚太朗＿必要
<0037> 瑚太朗＿必要

// <0038> 待て待て、そもそも――
<0038> 待て待て、そもそも――

// <0039> 瑚太朗＿必要
<0039> 瑚太朗＿必要

// <0040> 今日は、何日なんだろう？
<0040> 今日は、何日なんだろう？

// <0041> 瑚太朗＿必要
<0041> 瑚太朗＿必要

// <0042> 何月何日とか、何時何分とか。
<0042> 何月何日とか、何時何分とか。

// <0043> 瑚太朗＿必要
<0043> 瑚太朗＿必要

// <0044> そういったものと、切り離されている気がしてならない。
<0044> そういったものと、切り離されている気がしてならない。

// <0045> 瑚太朗＿必要
<0045> 瑚太朗＿必要

// <0046> あらゆる“今”でない時間。
<0046> あらゆる“今”でない時間。

// <0047> 瑚太朗＿必要
<0047> 瑚太朗＿必要

// <0048> あらゆる“此処（ここ）”でない場所。
<0048> あらゆる“此処（ここ）”でない場所。

// <0049> 瑚太朗＿必要
<0049> 瑚太朗＿必要

// <0050> それが“今夜”なのだろう。
<0050> それが“今夜”なのだろう。

// <0051> 瑚太朗＿必要
<0051> 瑚太朗＿必要

// <0052> そんなところを俺は歩いている。きっと。
<0052> そんなところを俺は歩いている。きっと。

// <0053> 瑚太朗＿必要
<0053> 瑚太朗＿必要

// <0054> うまく説明する言葉が他にない。
