// <0000> 【ミラクル大冒険】
<0000> 【ミラクル大冒険】

// <0001> 篝
<0001> 篝

// <0002> 「………」
<0002> 「………」

// <0003> 篝が研究を続け、横で見守る状態が続いていた。
<0003> 篝が研究を続け、横で見守る状態が続いていた。

// <0004> 理論は高度すぎた。
<0004> 理論は高度すぎた。

// <0005> 必然、俺の目は篝の横顔に吸いつけられた。
<0005> 必然、俺の目は篝の横顔に吸いつけられた。

// <0006> ごくたまに目が合う。
<0006> ごくたまに目が合う。

// <0007> ほほえみかけると、少女はまた図面に戻る。
<0007> ほほえみかけると、少女はまた図面に戻る。

// <0008> 素っ気ないが、これでいい。
<0008> 素っ気ないが、これでいい。

// <0009> 時には熱いコーヒーを、ふたりですすった。
<0009> 時には熱いコーヒーを、ふたりですすった。

// <0010> あたたかな体験だった。
<0010> あたたかな体験だった。

// <0011> 毛布に包まれているような気持ちになれた。
<0011> 毛布に包まれているような気持ちになれた。

// <0012> 心の豊かさが、俺を包んでいた。
<0012> 心の豊かさが、俺を包んでいた。

// <0013> 満ち足りた、おだやかな日々。
<0013> 満ち足りた、おだやかな日々。

// <0014> 俺の旅がここで終わっても良かった。それほどの充足だったから。
<0014> 俺の旅がここで終わっても良かった。それほどの充足だったから。

// <0015> だけど篝の旅はまだ終わっていない。
<0015> だけど篝の旅はまだ終わっていない。

// <0016> 一心不乱に動き続ける手が、そのことを語った。
<0016> 一心不乱に動き続ける手が、そのことを語った。

// <0017> …事象は推移する。
<0017> …事象は推移する。

// <0018> 時間には依存することなく。
<0018> 時間には依存することなく。

// <0019> 研究が進むごとに、篝の外見には疲労が滲むようになった。
<0019> 研究が進むごとに、篝の外見には疲労が滲むようになった。

// <0020> 髪が傷み、指先が荒れ、リボンはまだらに薄まった。
<0020> 髪が傷み、指先が荒れ、リボンはまだらに薄まった。

// <0021> 裾までもがほつれるようになって、俺は焦燥に駆られる。
<0021> 裾までもがほつれるようになって、俺は焦燥に駆られる。

// <0022> 研究を止めてしまいたいとさえ思う。
<0022> 研究を止めてしまいたいとさえ思う。

// <0023> ふたりで、永遠に停滞していたって構わない。
<0023> ふたりで、永遠に停滞していたって構わない。

// <0024> でも篝は…そんなことを望むはずがない。
<0024> でも篝は…そんなことを望むはずがない。

// <0025> ある頃から、俺は設計図を少しずつ視野に入れるようにしてみた。
<0025> ある頃から、俺は設計図を少しずつ視野に入れるようにしてみた。

// <0026> 彼女の名を認識した時、直感していたことを実行した。
<0026> 彼女の名を認識した時、直感していたことを実行した。

// <0027> 高度な情報は、ときに思考を引き裂く。
<0027> 高度な情報は、ときに思考を引き裂く。

// <0028> だが理解力を高めれば、耐性ができる。
<0028> だが理解力を高めれば、耐性ができる。

// <0029> 俺にはちょっとした超能力がある。
<0029> 俺にはちょっとした超能力がある。

// <0030> 自らの意識と理解を、引き上げることが可能だ。
<0030> 自らの意識と理解を、引き上げることが可能だ。

// <0031> 篝の世界を少しでも知ることができる。
<0031> 篝の世界を少しでも知ることができる。

// <0032> この力は、今の自分を全否定することでもある。
<0032> この力は、今の自分を全否定することでもある。

// <0033> かつては怯えていた。
<0033> かつては怯えていた。

// <0034> でも今、ほころびる篝の姿が、新たな決意を与えてくれた。
<0034> でも今、ほころびる篝の姿が、新たな決意を与えてくれた。

