// <0000> 
<0000> 

// <0001> 瑚太朗＿必要
<0001> 瑚太朗＿必要

// <0002> 「…痛ッ」
<0002> 「…痛ッ」

// <0003> 男＿ルイス
<0003> 男＿ルイス

// <0004> 「大丈夫か？」
<0004> 「大丈夫か？」

// <0005> 隣に座るルイスが、たどたどしい英語で話しかけてくる。
<0005> 隣に座るルイスが、たどたどしい英語で話しかけてくる。

// <0006> 浅黒い肌に、彫りの深い顔つきの２５歳。
<0006> 浅黒い肌に、彫りの深い顔つきの２５歳。

// <0007> それらとはひどく不釣り合いな潤んだ瞳が、人懐っこく輝いている。
<0007> それらとはひどく不釣り合いな潤んだ瞳が、人懐っこく輝いている。

// <0008> 俺より頭ひとつ高く、ひょろりとしている。
<0008> 俺より頭ひとつ高く、ひょろりとしている。

// <0009> 俺の得難い友人だ。
<0009> 俺の得難い友人だ。

// <0010> だけどこの人が車内で頭をぶつける場面を、見たことはない。
<0010> だけどこの人が車内で頭をぶつける場面を、見たことはない。

// <0011> 瑚太朗＿必要
<0011> 瑚太朗＿必要

// <0012> 「平気。俺、石頭」
<0012> 「平気。俺、石頭」

// <0013> ルイス
<0013> ルイス

// <0014> 「ＯＫ」
<0014> 「ＯＫ」

// <0015> ブラジル出身のルイスと日本人である俺の会話は、英語だ。
<0015> ブラジル出身のルイスと日本人である俺の会話は、英語だ。

// <0016> どちらも英会話は苦手だ。
<0016> どちらも英会話は苦手だ。

// <0017> いきおい会話はシンプルかつ不自然なものになる。
<0017> いきおい会話はシンプルかつ不自然なものになる。

// <0018> ルイス
<0018> ルイス

// <0019> 「なあ。仕事終わったら、酒」
<0019> 「なあ。仕事終わったら、酒」

// <0020> 瑚太朗＿必要
<0020> 瑚太朗＿必要

// <0021> 「俺飲めないって」
<0021> 「俺飲めないって」

// <0022> ルイス
<0022> ルイス

// <0023> 「もう大人なのにか？」
<0023> 「もう大人なのにか？」

// <0024> 瑚太朗＿必要
<0024> 瑚太朗＿必要

// <0025> 「酔えないから好きじゃない」
<0025> 「酔えないから好きじゃない」

// <0026> ルイス
<0026> ルイス

// <0027> 「気分楽しめ」
<0027> 「気分楽しめ」

// <0028> 瑚太朗＿必要
<0028> 瑚太朗＿必要

// <0029> 「メシ出るなら」
<0029> 「メシ出るなら」

// <0030> ルイス
<0030> ルイス

// <0031> 「決まり」
<0031> 「決まり」

// <0032> 拳をぶつけあう。交渉成立だ。
<0032> 拳をぶつけあう。交渉成立だ。

// <0033> 隊長
<0033> 隊長

// <0034> 「おい、うるさいぞ。ふざけるな」
<0034> 「おい、うるさいぞ。ふざけるな」

// <0035> 助手席からの苛立たしげな声が、俺たちをぴしゃりと打つ。
<0035> 助手席からの苛立たしげな声が、俺たちをぴしゃりと打つ。

// <0036> こちら隊長様だ。
<0036> こちら隊長様だ。

// <0037> 瑚太朗＿必要
<0037> 瑚太朗＿必要

// <0038> 「すみません」
<0038> 「すみません」

// <0039> ルイス
<0039> ルイス

// <0040> 「ごめんなさーい」
<0040> 「ごめんなさーい」

// <0041> 反抗的な態度に映ったのか、隊長は舌打ちして前を向く。
<0041> 反抗的な態度に映ったのか、隊長は舌打ちして前を向く。

// <0042> ルイスがへらへらと笑いながら肩を叩いてきた。
<0042> ルイスがへらへらと笑いながら肩を叩いてきた。

// <0043> 運転手
<0043> 運転手

// <0044> 「火薬のにおいがします」
<0044> 「火薬のにおいがします」

// <0045> ハンドルを握る男が言った。
<0045> ハンドルを握る男が言った。

// <0046> 隊長
<0046> 隊長

// <0047> 「何かありそうか」
<0047> 「何かありそうか」

// <0048> 運転手
<0048> 運転手

// <0049> 「何もないが、路肩が焦げてえぐれてる。地雷ですか？」
<0049> 「何もないが、路肩が焦げてえぐれてる。地雷ですか？」

// <0050> 男
<0050> 男

// <0051> 「地雷は土の色でわかる。だが警戒は怠らないでくれ」
<0051> 「地雷は土の色でわかる。だが警戒は怠らないでくれ」

// <0052> 運転手
<0052> 運転手

// <0053> 「道を外れれば…」
<0053> 「道を外れれば…」

// <0054> 男
<0054> 男

// <0055> 「そっちの方が危険だ。それこそどこに何があるかわからん」
