// <0000> ＭＴＧに参加している時のことだった。
<0000> ＭＴＧに参加している時のことだった。

// <0001> 破損した演台を新しいものにとりかえるため、男手が必要となった。
<0001> 破損した演台を新しいものにとりかえるため、男手が必要となった。

// <0002> 何人かでその作業を行ったが、直後、俺はマイクの線に足を引っかけて転倒した。
<0002> 何人かでその作業を行ったが、直後、俺はマイクの線に足を引っかけて転倒した。

// <0003> その際、右手首にいつも巻いてあったリストバンドがずれてしまった。
<0003> その際、右手首にいつも巻いてあったリストバンドがずれてしまった。

// <0004> そこには大きな、目立つ傷がある。
<0004> そこには大きな、目立つ傷がある。

// <0005> 刃物などで切ったとしか見えない傷。
<0005> 刃物などで切ったとしか見えない傷。

// <0006> 深く、縦方向に走っている。
<0006> 深く、縦方向に走っている。

// <0007> 慌てて傷を手で覆ったが、きっと何人かには目撃されてしまった。
<0007> 慌てて傷を手で覆ったが、きっと何人かには目撃されてしまった。

// <0008> それは偶然の出来事だった。
<0008> それは偶然の出来事だった。

// <0009> だからこそ説得力がある。
<0009> だからこそ説得力がある。

// <0010> 研究者として通い詰めるうち、親しい者もできた。
<0010> 研究者として通い詰めるうち、親しい者もできた。

// <0011> 同世代の若者や、目にかけてくれる年配の人などだ。
<0011> 同世代の若者や、目にかけてくれる年配の人などだ。

// <0012> 俺は無口なタイプだった。
<0012> 俺は無口なタイプだった。

// <0013> そういう者がはぐれてしまわないよう、声をかけあう空気がここにはある。
<0013> そういう者がはぐれてしまわないよう、声をかけあう空気がここにはある。

// <0014> 悩み事は相談して欲しい。
<0014> 悩み事は相談して欲しい。

// <0015> そう声をかけてくる者が格段に増えた。
<0015> そう声をかけてくる者が格段に増えた。

// <0016> 中には、普段話さないような人もいた。
<0016> 中には、普段話さないような人もいた。

// <0017> 俺は寡黙でいた。
<0017> 俺は寡黙でいた。

// <0018> なかなか心を開かないように振る舞った。
<0018> なかなか心を開かないように振る舞った。

// <0019> でも少しずつ、ほだされるようにして、愚痴をこぼした。
<0019> でも少しずつ、ほだされるようにして、愚痴をこぼした。

// <0020> 人生はつらすぎる。希望が何も見えない。
<0020> 人生はつらすぎる。希望が何も見えない。

// <0021> 自分はこのまま社会に貢献しないままで構わない。
<0021> 自分はこのまま社会に貢献しないままで構わない。

// <0022> 静かに、ひとりで生きていきたい。
<0022> 静かに、ひとりで生きていきたい。

// <0023> こういう演技をするのは、楽なものだった。
<0023> こういう演技をするのは、楽なものだった。

// <0024> 半分くらいは本音だったからだ。
<0024> 半分くらいは本音だったからだ。

