// <0000> どうしよう…。
<0000> どうしよう…。

// <0001> かつてないほどドキドキしている…。
<0001> かつてないほどドキドキしている…。

// <0002> これは世界を変えるドキドキだ。
<0002> これは世界を変えるドキドキだ。

// <0003> ドキがムネムネだ。
<0003> ドキがムネムネだ。

// <0004> 俺は…
<0004> 俺は…

// <0005> 臭いをかぐ
<0005> 臭いをかぐ

// <0006> やめておく
<0006> やめておく

// <0007> 臭いをかいだ。
<0007> 臭いをかいだ。

// <0008> おっぱいのほのかな香りが俺を誘（いざな）った。
<0008> おっぱいのほのかな香りが俺を誘（いざな）った。

// <0009> さらに…
<0009> さらに…

// <0010> 感触を思い出す
<0010> 感触を思い出す

// <0011> やめておく
<0011> やめておく

// <0012> 感触を思い出した。
<0012> 感触を思い出した。

// <0013> 今さっきの事だ。
<0013> 今さっきの事だ。

// <0014> 弾力といい温もりといい手触りといい…。
<0014> 弾力といい温もりといい手触りといい…。

// <0015> この世のあらゆる幸せを集めても足りない！
<0015> この世のあらゆる幸せを集めても足りない！

// <0016> そして…
<0016> そして…

// <0017> わきわきする
<0017> わきわきする

// <0018> やめておく
<0018> やめておく

// <0019> 指をわきわきした。
<0019> 指をわきわきした。

// <0020> 取るに足らない行動だが…イマジネーションはすでに最高潮だった。
<0020> 取るに足らない行動だが…イマジネーションはすでに最高潮だった。

// <0021> 指をなめる
<0021> 指をなめる

// <0022> やめておく
<0022> やめておく

// <0023> おいおい！　そりゃもう変態の域だぜ！
<0023> おいおい！　そりゃもう変態の域だぜ！

// <0024> でもかまわねえ！
<0024> でもかまわねえ！

// <0025> なんとなくおっぱいの味を感じた。
<0025> なんとなくおっぱいの味を感じた。

// <0026> おっぱいは世界を変える宣言をする
<0026> おっぱいは世界を変える宣言をする

// <0027> やめておく
<0027> やめておく

// <0028> 瑚太朗
<0028> 瑚太朗

// <0029> 「なん…だと…？」
<0029> 「なん…だと…？」

// <0030> 世界を変えるだと？
<0030> 世界を変えるだと？

// <0031> そんな大それたことが出来るのか？
<0031> そんな大それたことが出来るのか？

// <0032> 俺に…
<0032> 俺に…

// <0033> いや。
<0033> いや。

// <0034> おっぱいだ。
<0034> おっぱいだ。

// <0035> 世界を変えるのは…おっぱいだ！
<0035> 世界を変えるのは…おっぱいだ！

// <0036> 篝
<0036> 篝

// <0037> 「話は聞かせていただきました」
