// <0000> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
<0000> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－

// <0001> ≪見たいタイトル画面を選択して下さい≫
<0001> ≪見たいタイトル画面を選択して下さい≫

// <0002> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
<0002> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－

// <0003> 【０人クリア】　…　初期状態です。
<0003> 【０人クリア】　…　初期状態です。

// <0004> 【１人クリア】　…　篝が追加。鑑賞モードが追加。
<0004> 【１人クリア】　…　篝が追加。鑑賞モードが追加。

// <0005> 【月編】　　　　…　瑚太朗ぼっち。Ｍｏｏｎが追加（文字の下に光）
<0005> 【月編】　　　　…　瑚太朗ぼっち。Ｍｏｏｎが追加（文字の下に光）

// <0006> 【地球編】　　　…　暗い空間。Ｔｅｒｒａが追加（選ぶと月→地球へ）。
<0006> 【地球編】　　　…　暗い空間。Ｔｅｒｒａが追加（選ぶと月→地球へ）。

// <0007> 【オールクリア】…　全員集合。
<0007> 【オールクリア】…　全員集合。

// <0008> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
<0008> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－

// <0009> ※選択後は「Ｆ１」キーを押すことで、この画面に戻って来られます。
<0009> ※選択後は「Ｆ１」キーを押すことで、この画面に戻って来られます。

// <0010> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－
<0010> －－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－

// <0011> review\rewrite_rev.htm
<0011> review\rewrite_rev.htm

// <0012> dummy
<0012> dummy

// <0013> sys10_fa00
<0013> sys10_fa00

// <0014> sys10_mm02
<0014> sys10_mm02

// <0015> sys10_mm02
<0015> sys10_mm02

// <0016> sys10_sm00
<0016> sys10_sm00

// <0017> sys10_ex00
<0017> sys10_ex00

// <0018> sys10_sm00
<0018> sys10_sm00

// <0019> seen01000
<0019> seen01000

// <0020> seen07000
<0020> seen07000

// <0021> seen08000
<0021> seen08000

// <0022> mn_tt_war00
<0022> mn_tt_war00

// <0023> mn_tt_klogo00
<0023> mn_tt_klogo00

// <0024> mn_tt_bga_bg00
<0024> mn_tt_bga_bg00

// <0025> mn_tt_bga_bg00
<0025> mn_tt_bga_bg00

// <0026> mn_tt_bgb_bg00
