// <0000> ef_ch_sks_lt00
<0000> ef_ch_sks_lt00

// <0001> $g_fa_update_particle
<0001> $g_fa_update_particle

// <0002> ef_ch_sks_lt01
<0002> ef_ch_sks_lt01

// <0003> $g_fa_update_particle
<0003> $g_fa_update_particle

// <0004> ef_ch_sks_lt02
<0004> ef_ch_sks_lt02

// <0005> $g_fa_update_particle
<0005> $g_fa_update_particle

// <0006> 篝
<0006> 篝

// <0007> 「崩壊ーーーーーー！」
<0007> 「崩壊ーーーーーー！」

// <0008> 瑚太朗
<0008> 瑚太朗

// <0009> 「ぐわぁっ！　このままでは世界が崩壊してしまうぞ！？」
<0009> 「ぐわぁっ！　このままでは世界が崩壊してしまうぞ！？」

// <0010> 超ハイスピードだ！
<0010> 超ハイスピードだ！

// <0011> 瑚太朗
<0011> 瑚太朗

// <0012> 「しかし負けるもんか…」
<0012> 「しかし負けるもんか…」

// <0013> 瑚太朗
<0013> 瑚太朗

// <0014> 「うおおおおおおおおおおおおおおおおおおおおおおおおっぱいは世界を救うんだぁぁぁーーっ！！」
<0014> 「うおおおおおおおおおおおおおおおおおおおおおおおおっぱいは世界を救うんだぁぁぁーーっ！！」

// <0015> 篝
<0015> 篝

// <0016> 「なに…どこにこんな恐るべき力が！？」
<0016> 「なに…どこにこんな恐るべき力が！？」

// <0017> 瑚太朗
<0017> 瑚太朗

// <0018> 「心の中で唱えるのさ…」
<0018> 「心の中で唱えるのさ…」

// <0019> 瑚太朗
<0019> 瑚太朗

// <0020> 「おっぱい！　おっぱい！　おっぱい！」
<0020> 「おっぱい！　おっぱい！　おっぱい！」

// <0021> 篝
<0021> 篝

// <0022> 「そんなコンシューマ版では削除されてしまいそうな呪文を連呼するとは…！」
<0022> 「そんなコンシューマ版では削除されてしまいそうな呪文を連呼するとは…！」

// <0023> 瑚太朗
<0023> 瑚太朗

// <0024> 「俺は負けねえ…いや！」
<0024> 「俺は負けねえ…いや！」

// <0025> 瑚太朗
<0025> 瑚太朗

// <0026> 「おっぱいは負けない！」
<0026> 「おっぱいは負けない！」

// <0027> 瑚太朗
<0027> 瑚太朗

// <0028> 「おっぱいは正義だ！」
<0028> 「おっぱいは正義だ！」

// <0029> 瑚太朗
<0029> 瑚太朗

// <0030> 「おっぱいは地球を救う！」
<0030> 「おっぱいは地球を救う！」

// <0031> 瑚太朗
<0031> 瑚太朗

// <0032> 「おっぱいは最高なんだぁああああああああああああああああああああああああぁぁぁーーっ！！」
<0032> 「おっぱいは最高なんだぁああああああああああああああああああああああああぁぁぁーーっ！！」

// <0033> snull
<0033> snull

// <0034> 瞬間…。
<0034> 瞬間…。

// <0035> おっぱいを愛するものたちのエネルギーが俺を包んだ。
<0035> おっぱいを愛するものたちのエネルギーが俺を包んだ。

// <0036> $FaZone
<0036> $FaZone

// <0037> ef_ak_oppai_pi00
<0037> ef_ak_oppai_pi00

// <0038> $g_fa_update_particle
<0038> $g_fa_update_particle

// <0039> ef_ak_oppai_moji
<0039> ef_ak_oppai_moji

// <0040> $g_fa_update_particle
<0040> $g_fa_update_particle

// <0041> ef_ak_oppai_moji
<0041> ef_ak_oppai_moji

// <0042> $g_fa_update_particle
<0042> $g_fa_update_particle

// <0043> 
<0043> 

// <0044> 男
<0044> 男
