// <0000> 瑚太朗＿体験版
<0000> 瑚太朗＿体験版

// <0001> （どう決着させりゃいいんだよ？）
<0001> （どう決着させりゃいいんだよ？）

// <0002> ひとまず、構えてみる。
<0002> ひとまず、構えてみる。

// <0003> 対峙の構図が完成した。
<0003> 対峙の構図が完成した。

// <0004> 吉野＿体験版
<0004> 吉野＿体験版

// <0005> 「テメェのリアル、引きずり出してやる」
<0005> 「テメェのリアル、引きずり出してやる」

// <0006> 瑚太朗＿体験版
<0006> 瑚太朗＿体験版

// <0007> 「………」
<0007> 「………」

// <0008> 吉野＿体験版
<0008> 吉野＿体験版

// <0009> 「テイクディス（くらえ）！」
<0009> 「テイクディス（くらえ）！」

// <0010> ヤツは拳を振りかぶった。
<0010> ヤツは拳を振りかぶった。

// <0011> 瑚太朗＿体験版
<0011> 瑚太朗＿体験版

// <0012> 「…ふん、甘いな」
<0012> 「…ふん、甘いな」

// <0013> 神速で射出された矢のような一撃を、俺は身をひねり、紙一重で回避する。
<0013> 神速で射出された矢のような一撃を、俺は身をひねり、紙一重で回避する。

// <0014> 吉野＿体験版
<0014> 吉野＿体験版

// <0015> 「何ぃ、あのタイミングでかわしただと、バカな！」
<0015> 「何ぃ、あのタイミングでかわしただと、バカな！」

// <0016> 初撃で仕留めるはずだった獲物にあっさりと回避され、吉野が驚きの声をあげた。
<0016> 初撃で仕留めるはずだった獲物にあっさりと回避され、吉野が驚きの声をあげた。

// <0017> 吉野＿体験版
<0017> 吉野＿体験版

// <0018> 「今まで誰も避けたことがねぇ、オレのマッハナックルを！？」
<0018> 「今まで誰も避けたことがねぇ、オレのマッハナックルを！？」

// <0019> 瑚太朗＿体験版
<0019> 瑚太朗＿体験版

// <0020> 「どうした、それがおまえの全力か？」
<0020> 「どうした、それがおまえの全力か？」

// <0021> 吉野＿体験版
<0021> 吉野＿体験版

// <0022> 「何！」
<0022> 「何！」

// <0023> 瑚太朗＿体験版
<0023> 瑚太朗＿体験版

// <0024> 「そんな攻撃じゃ、俺には傷一つつけることはできないな」
<0024> 「そんな攻撃じゃ、俺には傷一つつけることはできないな」

// <0025> 吉野＿体験版
<0025> 吉野＿体験版

// <0026> 「ほざくなよ…」
<0026> 「ほざくなよ…」

// <0027> $FaYsTimer
<0027> $FaYsTimer

// <0028> 吉野は脇をしめ、拳を前方に軽く構える。
<0028> 吉野は脇をしめ、拳を前方に軽く構える。

// <0029> ボクシング・スタイルだ。
<0029> ボクシング・スタイルだ。

// <0030> 隙のない構えの隙間に、鋭い眼光がギラついていた。
<0030> 隙のない構えの隙間に、鋭い眼光がギラついていた。

// <0031> 瑚太朗＿体験版
<0031> 瑚太朗＿体験版

// <0032> 「…へえ」
<0032> 「…へえ」

// <0033> 油断できない敵らしい。
<0033> 油断できない敵らしい。

// <0034> 俺も本気で闘う時の構えを取る。
<0034> 俺も本気で闘う時の構えを取る。

// <0035> 奇しくも、こちらもボクシングに似たスタイルだ。
<0035> 奇しくも、こちらもボクシングに似たスタイルだ。

// <0036> 瑚太朗＿体験版
<0036> 瑚太朗＿体験版

// <0037> 「…来い」
<0037> 「…来い」
